EstBERT,est-roberta,LaBSE,bertMulti,distilbertMulti,MiniLM_multi,MiniLM-L12_multi,multi_e5,xml_roberta,expected_amount,words
14,13,14,14,11,13,13,14,14,14,vanglakaristus; pedofiilia; kommentaar; port; pakkuja; seadusalgatus; internetiteenus; kodanik; jälitamisreegel; poliitik; isikuvabadus; lasteporno; kristjan; tehnoloogia
14,13,14,14,11,13,13,14,14,14,vanglakaristus; pedofiilia; kommentaar; port; pakkuja; seadusalgatus; internetiteenus; kodanik; jälitamisreegel; poliitik; isikuvabadus; lasteporno; kristjan; tehnoloogia
14,13,14,14,11,13,14,14,14,14,vanglakaristus; pedofiilia; kommentaar; port; pakkuja; seadusalgatus; internetiteenus; kodanik; jälitamisreegel; poliitik; isikuvabadus; lasteporno; kristjan; tehnoloogia
14,13,14,14,12,13,14,14,14,14,vanglakaristus; pedofiilia; kommentaar; port; pakkuja; seadusalgatus; internetiteenus; kodanik; jälitamisreegel; poliitik; isikuvabadus; lasteporno; kristjan; tehnoloogia
14,13,14,14,12,14,14,14,14,14,vanglakaristus; pedofiilia; kommentaar; port; pakkuja; seadusalgatus; internetiteenus; kodanik; jälitamisreegel; poliitik; isikuvabadus; lasteporno; kristjan; tehnoloogia
14,13,14,14,13,14,14,14,14,14,vanglakaristus; pedofiilia; kommentaar; port; pakkuja; seadusalgatus; internetiteenus; kodanik; jälitamisreegel; poliitik; isikuvabadus; lasteporno; kristjan; tehnoloogia
14,13,14,14,13,14,14,14,14,14,vanglakaristus; pedofiilia; kommentaar; port; pakkuja; seadusalgatus; internetiteenus; kodanik; jälitamisreegel; poliitik; isikuvabadus; lasteporno; kristjan; tehnoloogia
14,13,14,14,14,14,14,14,14,14,vanglakaristus; pedofiilia; kommentaar; port; pakkuja; seadusalgatus; kodanik; internetiteenus; jälitamisreegel; poliitik; isikuvabadus; lasteporno; kristjan; tehnoloogia
14,13,14,14,14,14,14,14,14,14,vanglakaristus; pedofiilia; kommentaar; port; pakkuja; seadusalgatus; internetiteenus; kodanik; jälitamisreegel; poliitik; isikuvabadus; lasteporno; kristjan; tehnoloogia
14,13,14,14,14,14,14,14,14,14,vanglakaristus; pedofiilia; kommentaar; port; pakkuja; seadusalgatus; kodanik; internetiteenus; jälitamisreegel; poliitik; isikuvabadus; lasteporno; kristjan; tehnoloogia
14,14,14,14,14,14,14,14,14,14,vanglakaristus; pedofiilia; kommentaar; port; pakkuja; seadusalgatus; kodanik; internetiteenus; jälitamisreegel; poliitik; isikuvabadus; lasteporno; kristjan; tehnoloogia
