EstBERT,est-roberta,LaBSE,bertMulti,distilbertMulti,MiniLM_multi,MiniLM-L12_multi,multi_e5,xml_roberta,expected_amount,words
8,8,8,8,8,8,8,8,8,11,vaev; savi; hirm; ihu; kevadine; muld; hing; põrm
8,8,8,8,8,8,8,8,8,11,vaev; savi; hirm; ihu; kevadine; muld; hing; põrm
8,8,8,8,8,8,8,8,8,11,vaev; savi; hirm; ihu; kevadine; muld; hing; põrm
8,8,8,8,8,8,8,8,8,11,vaev; savi; hirm; ihu; kevadine; muld; hing; põrm
8,8,8,8,8,8,8,8,8,11,vaev; savi; hirm; ihu; kevadine; muld; hing; põrm
8,8,8,8,8,8,8,8,8,11,vaev; savi; hirm; ihu; kevadine; muld; hing; põrm
8,8,8,8,8,8,8,8,8,11,vaev; savi; hirm; ihu; kevadine; muld; hing; põrm
8,8,8,8,8,8,8,8,8,11,vaev; savi; hirm; ihu; kevadine; muld; hing; põrm
8,8,8,8,8,8,8,8,8,11,vaev; savi; hirm; ihu; kevadine; muld; hing; põrm
8,8,8,8,8,8,8,8,8,11,vaev; savi; hirm; ihu; kevadine; muld; hing; põrm
8,8,8,8,8,8,8,8,8,11,vaev; savi; hirm; ihu; kevadine; muld; hing; põrm
