EstBERT,est-roberta,LaBSE,bertMulti,distilbertMulti,MiniLM_multi,MiniLM-L12_multi,multi_e5,xml_roberta,expected_amount,words
7,6,3,4,1,3,3,4,6,12,hõff; sammas; gruusia; jaapan; hanno; pevkur; euroopa
7,6,4,4,1,4,3,4,6,12,hõff; sammas; gruusia; jaapan; hanno; pevkur; euroopa
6,6,6,4,1,4,3,5,5,12,hõff; sammas; gruusia; jaapan; hanno; pevkur; euroopa
7,7,6,6,1,4,5,5,5,12,hõff; gruusia; sammas; jaapan; hanno; pevkur; euroopa
7,7,6,6,1,5,5,6,5,12,hõff; gruusia; sammas; jaapan; hanno; pevkur; euroopa
5,7,6,6,2,6,6,6,5,12,hõff; gruusia; sammas; jaapan; hanno; pevkur; euroopa
6,7,7,4,3,5,5,6,5,12,hõff; gruusia; sammas; jaapan; hanno; pevkur; euroopa
3,7,7,7,4,6,6,6,6,12,hõff; gruusia; sammas; jaapan; hanno; pevkur; euroopa
3,7,7,7,6,6,4,6,6,12,hõff; sammas; gruusia; jaapan; hanno; pevkur; euroopa
3,6,6,7,6,5,5,5,6,12,hõff; sammas; gruusia; jaapan; hanno; pevkur; euroopa
3,6,5,7,6,6,5,7,6,12,hõff; sammas; gruusia; jaapan; hanno; pevkur; euroopa
