EstBERT,est-roberta,LaBSE,bertMulti,distilbertMulti,MiniLM_multi,MiniLM-L12_multi,multi_e5,xml_roberta,expected_amount,words
11,10,9,9,8,9,10,9,7,12,lill; ateljee; konstruktor; moemaja; moenäda; berliin; moekunstnik; moemaailm; inspiratsioon; kollektsioon; jahilo; tikand
11,9,9,9,9,9,10,9,8,12,lill; ateljee; konstruktor; moemaja; moenäda; berliin; moekunstnik; moemaailm; inspiratsioon; kollektsioon; jahilo; tikand
11,9,9,9,8,9,10,9,8,12,lill; ateljee; konstruktor; moemaja; moenäda; berliin; moekunstnik; moemaailm; inspiratsioon; kollektsioon; jahilo; tikand
11,10,10,9,8,10,11,11,8,12,lill; ateljee; konstruktor; moemaja; moenäda; berliin; moekunstnik; moemaailm; inspiratsioon; kollektsioon; jahilo; tikand
11,10,10,10,8,10,10,10,8,12,lill; ateljee; konstruktor; moemaja; moenäda; berliin; moekunstnik; moemaailm; inspiratsioon; kollektsioon; jahilo; tikand
9,10,10,12,10,9,9,11,8,12,lill; ateljee; konstruktor; moemaja; moenäda; berliin; moekunstnik; moemaailm; inspiratsioon; kollektsioon; jahilo; tikand
9,9,11,11,11,10,11,11,8,12,lill; ateljee; konstruktor; moemaja; moenäda; berliin; moekunstnik; moemaailm; inspiratsioon; kollektsioon; jahilo; tikand
7,11,10,12,10,11,11,10,8,12,lill; ateljee; konstruktor; moemaja; moenäda; berliin; moekunstnik; inspiratsioon; moemaailm; kollektsioon; jahilo; tikand
7,11,10,12,9,11,9,10,8,12,lill; ateljee; konstruktor; moemaja; moenäda; berliin; moekunstnik; inspiratsioon; moemaailm; kollektsioon; jahilo; tikand
7,11,10,12,9,9,11,11,7,12,lill; ateljee; konstruktor; moemaja; moenäda; berliin; moekunstnik; inspiratsioon; moemaailm; kollektsioon; jahilo; tikand
7,9,10,11,10,7,10,11,5,12,lill; ateljee; konstruktor; moemaja; moenäda; berliin; moekunstnik; inspiratsioon; moemaailm; kollektsioon; jahilo; tikand
