EstBERT,est-roberta,LaBSE,bertMulti,distilbertMulti,MiniLM_multi,MiniLM-L12_multi,multi_e5,xml_roberta,expected_amount,words
9,7,6,7,4,6,8,7,7,13,fuu; eesti; sümfooniaorkester; klaverikontsert; reimann; prelüüd; otsa; följeton; tants
9,9,6,8,6,7,7,7,7,13,fuu; eesti; sümfooniaorkester; klaverikontsert; reimann; prelüüd; otsa; följeton; tants
9,9,6,8,6,7,7,7,7,13,fuu; eesti; sümfooniaorkester; klaverikontsert; reimann; prelüüd; otsa; följeton; tants
9,9,6,8,6,7,8,7,7,13,fuu; eesti; sümfooniaorkester; klaverikontsert; reimann; prelüüd; otsa; följeton; tants
9,9,7,8,6,9,8,7,7,13,fuu; eesti; sümfooniaorkester; klaverikontsert; reimann; prelüüd; otsa; följeton; tants
8,9,8,9,6,9,6,7,8,13,fuu; eesti; sümfooniaorkester; klaverikontsert; reimann; prelüüd; otsa; följeton; tants
9,9,9,9,8,8,8,8,8,13,fuu; eesti; sümfooniaorkester; otsa; reimann; prelüüd; klaverikontsert; följeton; tants
8,9,9,9,8,8,8,9,8,13,fuu; eesti; sümfooniaorkester; otsa; reimann; prelüüd; klaverikontsert; följeton; tants
8,8,9,9,9,8,8,9,8,13,fuu; eesti; sümfooniaorkester; otsa; reimann; prelüüd; klaverikontsert; följeton; tants
6,8,9,9,9,8,7,8,9,13,fuu; eesti; sümfooniaorkester; otsa; reimann; klaverikontsert; prelüüd; följeton; tants
6,8,9,9,9,6,7,9,9,13,fuu; eesti; sümfooniaorkester; klaverikontsert; reimann; otsa; prelüüd; följeton; tants
