EstBERT,est-roberta,LaBSE,bertMulti,distilbertMulti,MiniLM_multi,MiniLM-L12_multi,multi_e5,xml_roberta,expected_amount,words
7,9,8,8,4,8,8,7,7,10,laps; toetama; sümfooniaorkester; muusikakool; lapsevanem; muusikaõpetaja; kontsertorkester; noorteorkester; virumaa
7,9,7,8,4,8,8,8,7,10,laps; toetama; sümfooniaorkester; muusikakool; lapsevanem; muusikaõpetaja; kontsertorkester; noorteorkester; virumaa
7,9,7,8,4,8,8,8,7,10,laps; toetama; sümfooniaorkester; muusikakool; lapsevanem; muusikaõpetaja; kontsertorkester; noorteorkester; virumaa
8,9,8,8,4,8,8,8,8,10,laps; muusikaõpetaja; toetama; kontsertorkester; sümfooniaorkester; muusikakool; noorteorkester; lapsevanem; virumaa
7,9,7,8,4,7,7,8,8,10,laps; toetama; sümfooniaorkester; muusikakool; lapsevanem; muusikaõpetaja; kontsertorkester; noorteorkester; virumaa
5,9,8,7,5,9,7,8,8,10,laps; muusikaõpetaja; toetama; kontsertorkester; sümfooniaorkester; muusikakool; noorteorkester; lapsevanem; virumaa
7,8,7,7,5,7,8,7,8,10,laps; muusikaõpetaja; toetama; kontsertorkester; sümfooniaorkester; muusikakool; noorteorkester; lapsevanem; virumaa
7,7,7,7,8,6,5,7,8,10,laps; muusikaõpetaja; toetama; kontsertorkester; sümfooniaorkester; muusikakool; noorteorkester; lapsevanem; virumaa
6,8,7,6,7,7,5,5,9,10,laps; muusikaõpetaja; toetama; kontsertorkester; sümfooniaorkester; muusikakool; noorteorkester; lapsevanem; virumaa
7,8,7,6,6,6,4,7,9,10,laps; muusikaõpetaja; toetama; kontsertorkester; sümfooniaorkester; muusikakool; noorteorkester; lapsevanem; virumaa
6,8,6,6,5,5,3,5,8,10,laps; muusikaõpetaja; toetama; kontsertorkester; sümfooniaorkester; muusikakool; noorteorkester; lapsevanem; virumaa
