EstBERT,est-roberta,LaBSE,bertMulti,distilbertMulti,MiniLM_multi,MiniLM-L12_multi,multi_e5,xml_roberta,expected_amount,words
10,8,3,7,5,8,5,11,6,15,vahing; psühhiaater; separaat; vaino; juhan; nõukogu; liit; šbiil; dramaturg; luiga; mati; identiteet; üksikisik
10,8,3,7,5,8,6,10,6,15,vahing; psühhiaater; separaat; vaino; juhan; nõukogu; liit; šbiil; dramaturg; luiga; mati; identiteet; üksikisik
10,8,3,7,5,8,6,10,6,15,vahing; psühhiaater; separaat; vaino; juhan; nõukogu; liit; šbiil; dramaturg; luiga; mati; identiteet; üksikisik
9,8,3,8,5,8,7,9,6,15,vahing; psühhiaater; separaat; vaino; juhan; nõukogu; liit; šbiil; dramaturg; luiga; mati; identiteet; üksikisik
8,9,3,8,5,9,7,9,6,15,vahing; psühhiaater; separaat; vaino; juhan; nõukogu; liit; dramaturg; šbiil; luiga; mati; identiteet; üksikisik
8,10,7,9,7,10,5,10,6,15,vahing; psühhiaater; separaat; vaino; juhan; nõukogu; liit; šbiil; dramaturg; luiga; mati; identiteet; üksikisik
7,9,11,8,6,11,5,9,7,15,vahing; psühhiaater; separaat; vaino; juhan; nõukogu; liit; dramaturg; šbiil; luiga; mati; identiteet; üksikisik
5,9,10,7,7,9,6,9,7,15,vahing; psühhiaater; separaat; vaino; juhan; nõukogu; liit; dramaturg; šbiil; luiga; mati; identiteet; üksikisik
4,9,8,7,7,8,10,10,6,15,vahing; psühhiaater; separaat; vaino; juhan; nõukogu; liit; šbiil; dramaturg; luiga; mati; identiteet; üksikisik
4,10,11,10,10,8,11,10,6,15,vahing; psühhiaater; separaat; vaino; juhan; nõukogu; liit; šbiil; dramaturg; luiga; mati; identiteet; üksikisik
4,7,12,10,5,6,7,9,6,15,vahing; psühhiaater; separaat; vaino; juhan; nõukogu; liit; šbiil; dramaturg; luiga; mati; identiteet; üksikisik
