EstBERT,est-roberta,LaBSE,bertMulti,distilbertMulti,MiniLM_multi,MiniLM-L12_multi,multi_e5,xml_roberta,expected_amount,words
10,9,10,7,4,8,7,9,8,12,ratas; juhanson; sportlane; ain-alar; ujumine; distants; jooks; triatlon; johanson; võistlus; hawaii; ironman
11,9,10,7,4,8,7,10,8,12,ratas; juhanson; sportlane; ain-alar; ujumine; distants; jooks; triatlon; johanson; võistlus; hawaii; ironman
10,9,9,7,4,8,9,10,8,12,ratas; juhanson; sportlane; ain-alar; ujumine; distants; jooks; triatlon; johanson; võistlus; hawaii; ironman
10,9,9,8,4,8,9,11,8,12,ratas; juhanson; sportlane; ain-alar; ujumine; distants; jooks; triatlon; johanson; võistlus; hawaii; ironman
10,9,9,9,6,10,9,11,9,12,ratas; juhanson; sportlane; ain-alar; ujumine; distants; jooks; triatlon; johanson; võistlus; hawaii; ironman
10,9,10,10,7,11,11,11,9,12,ratas; juhanson; sportlane; ain-alar; ujumine; distants; jooks; triatlon; johanson; võistlus; hawaii; ironman
11,10,11,10,7,11,9,12,9,12,ratas; juhanson; sportlane; ain-alar; ujumine; distants; jooks; triatlon; johanson; võistlus; hawaii; ironman
9,9,11,11,9,11,9,12,10,12,ratas; juhanson; sportlane; ain-alar; ujumine; distants; jooks; triatlon; johanson; võistlus; hawaii; ironman
9,7,9,11,10,10,9,12,11,12,ratas; juhanson; sportlane; ain-alar; ujumine; distants; jooks; triatlon; johanson; võistlus; hawaii; ironman
8,9,10,11,9,11,9,10,10,12,ratas; juhanson; sportlane; ain-alar; ujumine; distants; jooks; triatlon; johanson; võistlus; hawaii; ironman
9,9,11,10,11,9,10,10,11,12,ratas; juhanson; sportlane; ain-alar; ujumine; distants; jooks; triatlon; johanson; võistlus; hawaii; ironman
