EstBERT,est-roberta,LaBSE,bertMulti,distilbertMulti,MiniLM_multi,MiniLM-L12_multi,multi_e5,xml_roberta,expected_amount,words
7,8,9,7,7,7,8,9,7,11,noor; töö; doktor; liikuma; jooksma; tennis; pension; tervis; laur
7,8,9,7,7,7,8,9,7,11,noor; töö; doktor; liikuma; jooksma; tennis; pension; tervis; laur
7,8,9,7,7,7,8,9,7,11,noor; töö; doktor; liikuma; jooksma; tennis; pension; tervis; laur
7,8,9,7,6,7,8,9,7,11,noor; töö; doktor; liikuma; jooksma; tennis; pension; tervis; laur
8,8,9,7,6,8,8,9,7,11,noor; liikuma; doktor; töö; jooksma; tennis; pension; tervis; laur
8,8,9,7,7,8,8,9,7,11,noor; liikuma; doktor; töö; jooksma; tennis; pension; tervis; laur
9,8,9,9,8,8,8,9,7,11,noor; liikuma; töö; doktor; jooksma; tennis; pension; tervis; laur
9,9,9,8,8,8,8,9,7,11,noor; töö; liikuma; doktor; jooksma; tennis; pension; tervis; laur
8,8,9,9,8,8,8,9,7,11,noor; liikuma; töö; doktor; tervis; jooksma; tennis; pension; laur
8,8,9,9,7,9,9,9,5,11,noor; töö; liikuma; doktor; tervis; jooksma; tennis; pension; laur
8,9,9,9,7,8,9,9,6,11,noor; liikuma; töö; doktor; tervis; jooksma; tennis; pension; laur
