EstBERT,est-roberta,LaBSE,bertMulti,distilbertMulti,MiniLM_multi,MiniLM-L12_multi,multi_e5,xml_roberta,expected_amount,words
9,7,7,10,8,10,8,7,8,13,pruut; realism; laulumäng; ärkamisaeg; vigane; kirjandus; kosjasõit; kriitiline; kitzberg; komöödia; vilde
9,7,8,10,9,10,8,7,8,13,pruut; realism; laulumäng; ärkamisaeg; vigane; kirjandus; kosjasõit; kriitiline; kitzberg; komöödia; vilde
10,7,9,9,9,11,7,8,8,13,pruut; realism; laulumäng; ärkamisaeg; vigane; kirjandus; kosjasõit; kriitiline; kitzberg; komöödia; vilde
10,8,9,9,9,11,6,7,8,13,pruut; realism; laulumäng; ärkamisaeg; vigane; kirjandus; kosjasõit; kriitiline; kitzberg; komöödia; vilde
10,8,9,9,8,11,9,8,8,13,pruut; realism; laulumäng; ärkamisaeg; vigane; kirjandus; kosjasõit; kriitiline; kitzberg; komöödia; vilde
8,8,8,10,6,11,9,9,8,13,pruut; realism; laulumäng; ärkamisaeg; vigane; kirjandus; kosjasõit; kriitiline; kitzberg; komöödia; vilde
9,10,9,10,8,9,7,9,8,13,pruut; realism; laulumäng; ärkamisaeg; vigane; kirjandus; kosjasõit; kriitiline; kitzberg; komöödia; vilde
9,8,8,11,8,9,10,9,7,13,pruut; realism; laulumäng; ärkamisaeg; vigane; kirjandus; kosjasõit; kriitiline; kitzberg; komöödia; vilde
8,8,9,11,8,9,9,10,7,13,pruut; realism; laulumäng; ärkamisaeg; vigane; kirjandus; kosjasõit; kriitiline; kitzberg; komöödia; vilde
8,7,9,10,9,6,8,10,6,13,pruut; realism; laulumäng; ärkamisaeg; vigane; kirjandus; kosjasõit; kriitiline; kitzberg; komöödia; vilde
7,8,6,11,9,5,10,10,6,13,pruut; realism; laulumäng; ärkamisaeg; vigane; kirjandus; kosjasõit; kriitiline; kitzberg; komöödia; vilde
