EstBERT,est-roberta,LaBSE,bertMulti,distilbertMulti,MiniLM_multi,MiniLM-L12_multi,multi_e5,xml_roberta,expected_amount,words
5,4,6,6,7,3,4,6,6,10,elu; daniel; tartu; pavel; ants; heinküla; signe; identiteet; konflikt
5,4,6,6,7,4,4,6,6,10,elu; daniel; tartu; pavel; ants; heinküla; signe; identiteet; konflikt
5,4,6,6,7,6,4,7,6,10,elu; daniel; tartu; pavel; ants; heinküla; signe; identiteet; konflikt
5,4,7,6,7,6,6,7,6,10,elu; daniel; tartu; pavel; ants; heinküla; signe; identiteet; konflikt
6,5,7,6,8,6,6,7,6,10,elu; daniel; tartu; pavel; ants; heinküla; signe; identiteet; konflikt
6,5,9,5,8,5,6,7,6,10,elu; daniel; tartu; pavel; ants; heinküla; signe; identiteet; konflikt
6,6,8,7,7,7,7,6,6,10,elu; daniel; tartu; pavel; ants; heinküla; signe; identiteet; konflikt
7,7,8,8,7,8,7,6,6,10,elu; daniel; tartu; pavel; ants; heinküla; signe; identiteet; konflikt
8,7,8,7,7,7,6,6,6,10,elu; daniel; tartu; pavel; ants; heinküla; signe; identiteet; konflikt
8,8,9,8,7,8,8,6,5,10,elu; daniel; tartu; pavel; ants; heinküla; signe; identiteet; konflikt
8,7,9,8,7,7,7,7,5,10,elu; daniel; tartu; pavel; ants; heinküla; signe; identiteet; konflikt
