EstBERT,est-roberta,LaBSE,bertMulti,distilbertMulti,MiniLM_multi,MiniLM-L12_multi,multi_e5,xml_roberta,expected_amount,words
4,6,5,3,2,2,6,3,5,12,kirik; ordu; vaimulik; katoliku; tartu; euroopa
4,6,5,3,2,2,6,3,5,12,kirik; ordu; vaimulik; katoliku; tartu; euroopa
4,6,6,4,2,2,6,3,5,12,kirik; ordu; vaimulik; katoliku; tartu; euroopa
4,6,6,4,2,3,6,3,5,12,kirik; ordu; vaimulik; katoliku; tartu; euroopa
4,6,6,4,3,3,6,3,5,12,kirik; ordu; vaimulik; katoliku; tartu; euroopa
4,6,6,4,5,4,5,4,5,12,kirik; ordu; vaimulik; katoliku; tartu; euroopa
4,6,6,6,5,6,6,6,5,12,kirik; ordu; euroopa; vaimulik; tartu; katoliku
5,6,5,6,6,5,5,5,6,12,kirik; ordu; vaimulik; katoliku; tartu; euroopa
5,5,6,6,6,6,4,6,6,12,kirik; ordu; euroopa; vaimulik; tartu; katoliku
5,5,6,6,6,5,4,6,6,12,kirik; ordu; vaimulik; katoliku; tartu; euroopa
4,4,6,6,6,5,4,5,6,12,kirik; ordu; euroopa; vaimulik; tartu; katoliku
