EstBERT,est-roberta,LaBSE,bertMulti,distilbertMulti,MiniLM_multi,MiniLM-L12_multi,multi_e5,xml_roberta,expected_amount,words
9,9,7,9,7,9,8,9,9,14,maja; pood; tomusk; tuba; ilmar; isik; uus; martin; kõrvaline
9,9,9,9,7,9,8,9,9,14,maja; pood; tomusk; tuba; ilmar; isik; uus; martin; kõrvaline
9,9,9,9,9,9,8,9,9,14,maja; pood; tomusk; tuba; ilmar; isik; uus; martin; kõrvaline
9,9,9,9,9,9,8,9,9,14,maja; pood; tomusk; tuba; ilmar; isik; uus; martin; kõrvaline
9,9,9,9,9,9,9,9,9,14,maja; pood; tomusk; tuba; ilmar; isik; uus; martin; kõrvaline
9,9,9,9,9,9,9,9,9,14,maja; pood; tomusk; tuba; ilmar; isik; uus; martin; kõrvaline
9,9,9,9,9,9,9,9,9,14,maja; pood; tomusk; tuba; ilmar; isik; uus; martin; kõrvaline
9,9,9,9,9,9,9,9,9,14,maja; pood; tomusk; tuba; ilmar; isik; uus; martin; kõrvaline
9,9,9,9,9,9,9,9,9,14,maja; isik; pood; tomusk; tuba; ilmar; uus; martin; kõrvaline
9,9,9,9,9,9,9,9,9,14,maja; pood; tomusk; tuba; ilmar; isik; uus; martin; kõrvaline
9,9,9,9,9,9,9,9,9,14,maja; isik; tomusk; tuba; ilmar; pood; uus; martin; kõrvaline
