EstBERT,est-roberta,LaBSE,bertMulti,distilbertMulti,MiniLM_multi,MiniLM-L12_multi,multi_e5,xml_roberta,expected_amount,words
6,6,2,5,2,4,4,11,8,15,lennon; kuum; ed; kuuekümnes; maania; epstein; brian; biitel; sullivan; ringo; mccartney; harrison
6,6,3,5,2,6,4,11,7,15,lennon; kuum; ed; kuuekümnes; maania; epstein; brian; biitel; sullivan; ringo; mccartney; harrison
6,8,6,6,2,6,5,11,7,15,lennon; kuum; ed; kuuekümnes; maania; epstein; brian; biitel; sullivan; ringo; mccartney; harrison
8,8,6,6,2,6,7,11,8,15,lennon; kuum; ed; kuuekümnes; maania; epstein; brian; biitel; sullivan; ringo; mccartney; harrison
8,10,8,7,4,10,7,12,10,15,lennon; kuum; ed; kuuekümnes; maania; epstein; brian; biitel; sullivan; ringo; mccartney; harrison
7,6,9,8,4,10,7,11,10,15,lennon; kuum; ed; kuuekümnes; maania; epstein; brian; biitel; sullivan; ringo; mccartney; harrison
6,9,10,9,5,10,10,10,10,15,lennon; kuum; ed; kuuekümnes; maania; epstein; brian; biitel; sullivan; ringo; mccartney; harrison
6,6,8,8,6,9,11,10,9,15,lennon; kuum; ed; kuuekümnes; maania; epstein; brian; biitel; sullivan; ringo; mccartney; harrison
7,5,10,6,6,10,10,10,9,15,lennon; kuum; ed; kuuekümnes; maania; epstein; brian; biitel; sullivan; ringo; mccartney; harrison
5,7,10,6,6,9,11,9,11,15,lennon; kuum; ed; kuuekümnes; maania; epstein; brian; biitel; sullivan; ringo; mccartney; harrison
4,4,11,7,6,9,9,9,9,15,lennon; kuum; ed; kuuekümnes; maania; epstein; brian; biitel; sullivan; ringo; mccartney; harrison
