EstBERT,est-roberta,LaBSE,bertMulti,distilbertMulti,MiniLM_multi,MiniLM-L12_multi,multi_e5,xml_roberta,expected_amount,words
7,9,9,6,7,8,8,9,7,13,lauljatar; grammy; emilio; kuub; gloria; stefan; artist; ballaad; estefan; crossover
8,8,9,7,7,8,9,9,7,13,lauljatar; grammy; emilio; kuub; gloria; stefan; artist; ballaad; estefan; crossover
8,8,8,7,7,8,9,9,7,13,lauljatar; grammy; emilio; kuub; gloria; stefan; artist; ballaad; estefan; crossover
8,7,8,7,7,8,9,9,7,13,lauljatar; grammy; emilio; kuub; gloria; stefan; artist; ballaad; estefan; crossover
8,7,8,7,7,8,7,9,7,13,lauljatar; grammy; emilio; kuub; gloria; stefan; artist; ballaad; estefan; crossover
8,9,9,6,7,8,9,9,7,13,lauljatar; grammy; emilio; kuub; gloria; stefan; artist; ballaad; estefan; crossover
8,9,6,6,7,9,9,9,7,13,lauljatar; grammy; emilio; kuub; gloria; stefan; artist; ballaad; estefan; crossover
9,9,10,6,7,9,8,9,7,13,lauljatar; grammy; emilio; kuub; gloria; stefan; artist; ballaad; estefan; crossover
8,7,9,6,6,9,8,7,7,13,lauljatar; grammy; emilio; kuub; gloria; stefan; artist; ballaad; estefan; crossover
4,8,7,6,6,9,10,7,6,13,lauljatar; grammy; emilio; kuub; gloria; stefan; artist; ballaad; estefan; crossover
4,7,8,6,6,9,8,6,6,13,lauljatar; grammy; emilio; gloria; stefan; artist; ballaad; estefan; kuub; crossover
