EstBERT,est-roberta,LaBSE,bertMulti,distilbertMulti,MiniLM_multi,MiniLM-L12_multi,multi_e5,xml_roberta,expected_amount,words
10,10,8,6,9,8,10,9,9,12,haigus; uskumus; lemm; sümptom; ehmatamine; stress; vaimne; maagia; tasakaal; meditsiin
10,10,8,6,9,8,10,8,9,12,haigus; uskumus; lemm; sümptom; ehmatamine; stress; vaimne; maagia; tasakaal; meditsiin
10,10,9,6,9,9,10,10,9,12,haigus; uskumus; lemm; sümptom; ehmatamine; stress; vaimne; maagia; tasakaal; meditsiin
10,10,9,6,10,9,9,10,9,12,haigus; uskumus; lemm; sümptom; ehmatamine; stress; vaimne; maagia; tasakaal; meditsiin
10,10,9,6,10,9,9,10,9,12,haigus; uskumus; lemm; sümptom; ehmatamine; stress; vaimne; maagia; tasakaal; meditsiin
10,10,10,7,10,9,9,10,9,12,haigus; uskumus; lemm; sümptom; ehmatamine; stress; vaimne; maagia; tasakaal; meditsiin
10,10,10,7,9,10,9,10,9,12,haigus; uskumus; lemm; sümptom; ehmatamine; stress; vaimne; maagia; tasakaal; meditsiin
10,10,10,10,8,10,9,10,10,12,haigus; uskumus; lemm; sümptom; ehmatamine; stress; vaimne; maagia; tasakaal; meditsiin
10,10,10,10,9,10,10,10,10,12,haigus; uskumus; lemm; sümptom; ehmatamine; stress; vaimne; maagia; tasakaal; meditsiin
10,10,10,10,10,10,9,10,10,12,haigus; uskumus; lemm; sümptom; ehmatamine; stress; vaimne; maagia; tasakaal; meditsiin
10,10,10,10,10,10,8,10,10,12,haigus; uskumus; lemm; sümptom; ehmatamine; stress; vaimne; maagia; tasakaal; meditsiin
