EstBERT,est-roberta,LaBSE,bertMulti,distilbertMulti,MiniLM_multi,MiniLM-L12_multi,multi_e5,xml_roberta,expected_amount,words
9,10,12,11,9,10,8,12,11,18,võrgustik; kommentaar; port; thomas; kamazon; arvuti; valitsemine; maailm; server; watson; kristjan; tehnoloogia
9,10,12,10,9,10,9,12,11,18,võrgustik; kommentaar; port; thomas; kamazon; arvuti; valitsemine; maailm; server; watson; kristjan; tehnoloogia
10,10,12,10,9,10,12,12,11,18,võrgustik; kommentaar; port; thomas; kamazon; arvuti; valitsemine; maailm; server; watson; kristjan; tehnoloogia
11,10,12,10,9,10,12,12,11,18,võrgustik; kommentaar; port; thomas; kamazon; arvuti; valitsemine; maailm; server; watson; kristjan; tehnoloogia
11,10,12,10,9,10,12,12,11,18,võrgustik; kommentaar; port; thomas; kamazon; arvuti; valitsemine; maailm; server; watson; kristjan; tehnoloogia
10,10,12,9,11,12,12,12,11,18,võrgustik; kommentaar; port; thomas; kamazon; arvuti; valitsemine; maailm; server; watson; kristjan; tehnoloogia
11,10,12,11,12,12,12,12,11,18,võrgustik; kommentaar; port; thomas; kamazon; arvuti; valitsemine; maailm; server; watson; kristjan; tehnoloogia
12,10,12,11,12,12,12,12,10,18,kommentaar; port; thomas; tehnoloogia; kamazon; arvuti; valitsemine; maailm; server; watson; kristjan; võrgustik
12,10,12,11,12,12,12,12,11,18,kommentaar; port; thomas; tehnoloogia; kamazon; arvuti; valitsemine; maailm; server; watson; kristjan; võrgustik
12,10,12,11,12,12,12,12,12,18,kommentaar; port; thomas; tehnoloogia; kamazon; arvuti; valitsemine; maailm; server; watson; kristjan; võrgustik
12,10,12,11,12,12,12,12,12,18,kommentaar; port; thomas; tehnoloogia; kamazon; arvuti; valitsemine; maailm; server; watson; kristjan; võrgustik
