EstBERT,est-roberta,LaBSE,bertMulti,distilbertMulti,MiniLM_multi,MiniLM-L12_multi,multi_e5,xml_roberta,expected_amount,words
4,4,5,6,1,3,4,6,4,12,akadeemia; füüsika; gustav; hüpotees; naan; teadus; sõda
5,4,6,6,1,3,4,6,4,12,akadeemia; füüsika; gustav; hüpotees; naan; teadus; sõda
5,4,6,6,1,3,4,6,4,12,akadeemia; füüsika; gustav; hüpotees; naan; teadus; sõda
7,4,6,6,1,3,3,6,4,12,akadeemia; füüsika; gustav; hüpotees; naan; teadus; sõda
7,4,5,6,1,3,4,6,4,12,akadeemia; füüsika; gustav; hüpotees; naan; teadus; sõda
7,4,6,6,1,4,4,5,5,12,akadeemia; füüsika; gustav; hüpotees; naan; teadus; sõda
7,5,5,6,3,6,4,6,5,12,akadeemia; füüsika; gustav; hüpotees; naan; teadus; sõda
7,7,4,6,3,7,4,5,5,12,akadeemia; füüsika; gustav; hüpotees; naan; teadus; sõda
7,7,6,6,6,6,6,6,6,12,akadeemia; füüsika; gustav; hüpotees; naan; teadus; sõda
6,7,6,6,7,6,5,6,6,12,akadeemia; füüsika; gustav; hüpotees; naan; teadus; sõda
4,6,5,7,7,6,5,6,6,12,akadeemia; füüsika; gustav; hüpotees; naan; teadus; sõda
