EstBERT,est-roberta,LaBSE,bertMulti,distilbertMulti,MiniLM_multi,MiniLM-L12_multi,multi_e5,xml_roberta,expected_amount,words
4,5,2,5,4,3,4,8,4,12,tammer; loop; playboy; laulasmaa; muusika; austraalia; habe; abikaasa; unu; triatlon
4,5,2,5,5,3,3,8,4,12,tammer; loop; playboy; laulasmaa; muusika; austraalia; abikaasa; habe; unu; triatlon
4,6,3,5,5,3,3,8,4,12,tammer; loop; playboy; laulasmaa; muusika; austraalia; abikaasa; habe; unu; triatlon
4,6,3,5,5,4,3,8,4,12,tammer; loop; playboy; laulasmaa; muusika; austraalia; abikaasa; habe; unu; triatlon
6,6,5,5,5,4,3,9,5,12,tammer; laulasmaa; austraalia; unu; triatlon; loop; playboy; muusika; abikaasa; habe
8,5,6,7,5,7,8,6,5,12,tammer; loop; playboy; laulasmaa; muusika; austraalia; habe; abikaasa; unu; triatlon
9,7,7,9,6,7,6,6,5,12,tammer; laulasmaa; austraalia; unu; triatlon; loop; playboy; muusika; abikaasa; habe
8,8,8,9,7,5,6,7,6,12,tammer; laulasmaa; austraalia; unu; triatlon; loop; playboy; muusika; abikaasa; habe
5,8,9,8,7,7,6,7,6,12,tammer; loop; playboy; laulasmaa; muusika; austraalia; abikaasa; habe; unu; triatlon
7,8,8,8,7,7,8,6,7,12,tammer; loop; playboy; laulasmaa; austraalia; abikaasa; habe; muusika; unu; triatlon
4,8,9,7,7,7,6,6,5,12,tammer; loop; playboy; laulasmaa; abikaasa; muusika; habe; austraalia; unu; triatlon
