EstBERT,est-roberta,LaBSE,bertMulti,distilbertMulti,MiniLM_multi,MiniLM-L12_multi,multi_e5,xml_roberta,expected_amount,words
7,9,4,8,3,4,2,6,5,14,mägi; puuvili; bassein; vanalinn; loodus; porto; kalju; õhutramm; madeira; portugal
7,8,4,8,3,5,3,5,4,14,kalju; mägi; puuvili; bassein; õhutramm; vanalinn; madeira; portugal; loodus; porto
8,9,4,6,3,6,5,6,4,14,kalju; mägi; puuvili; bassein; õhutramm; vanalinn; madeira; portugal; loodus; porto
8,9,6,6,4,6,5,6,4,14,kalju; mägi; puuvili; bassein; õhutramm; vanalinn; madeira; portugal; loodus; porto
8,9,8,7,5,5,6,6,4,14,kalju; mägi; puuvili; bassein; õhutramm; vanalinn; madeira; portugal; loodus; porto
6,9,6,8,6,7,8,7,4,14,kalju; mägi; puuvili; bassein; õhutramm; vanalinn; madeira; loodus; portugal; porto
7,7,9,8,8,7,6,7,4,14,mägi; puuvili; bassein; vanalinn; loodus; porto; kalju; õhutramm; madeira; portugal
5,8,10,7,7,6,6,7,5,14,kalju; mägi; puuvili; bassein; õhutramm; vanalinn; madeira; loodus; portugal; porto
6,8,8,7,6,6,8,7,6,14,kalju; mägi; puuvili; bassein; õhutramm; vanalinn; madeira; loodus; portugal; porto
8,7,9,7,7,5,4,6,6,14,kalju; mägi; puuvili; bassein; õhutramm; vanalinn; portugal; loodus; madeira; porto
6,8,10,7,7,5,6,8,6,14,mägi; puuvili; bassein; vanalinn; loodus; porto; kalju; õhutramm; portugal; madeira
