EstBERT,est-roberta,LaBSE,bertMulti,distilbertMulti,MiniLM_multi,MiniLM-L12_multi,multi_e5,xml_roberta,expected_amount,words
10,9,8,9,6,7,9,11,4,18,pelis; performance; kunstikool; anatoomikum; tants; seenemaa; moeetendus; kollektsioon; disainer; mood; lavastaja; kõrgem; paju
10,8,8,9,7,7,9,11,4,18,pelis; performance; kunstikool; anatoomikum; tants; seenemaa; moeetendus; kollektsioon; disainer; mood; lavastaja; kõrgem; paju
10,8,9,9,7,7,10,11,4,18,pelis; performance; kunstikool; anatoomikum; tants; seenemaa; moeetendus; kollektsioon; disainer; mood; lavastaja; kõrgem; paju
11,9,9,9,7,8,10,11,4,18,pelis; performance; kunstikool; anatoomikum; tants; seenemaa; moeetendus; kollektsioon; disainer; mood; lavastaja; kõrgem; paju
11,9,10,9,7,9,12,12,4,18,pelis; performance; kunstikool; anatoomikum; tants; seenemaa; moeetendus; kollektsioon; disainer; mood; lavastaja; kõrgem; paju
9,10,9,10,7,10,11,12,3,18,pelis; performance; kunstikool; anatoomikum; tants; seenemaa; moeetendus; kollektsioon; disainer; mood; lavastaja; kõrgem; paju
12,10,8,11,8,13,9,12,3,18,pelis; performance; kunstikool; anatoomikum; tants; seenemaa; moeetendus; kollektsioon; disainer; mood; lavastaja; kõrgem; paju
8,12,9,11,8,12,10,12,4,18,pelis; performance; kunstikool; anatoomikum; tants; seenemaa; moeetendus; disainer; kollektsioon; mood; lavastaja; kõrgem; paju
9,9,8,11,8,12,10,12,5,18,pelis; performance; kunstikool; anatoomikum; tants; seenemaa; moeetendus; disainer; kollektsioon; mood; lavastaja; kõrgem; paju
9,9,12,11,9,10,11,11,6,18,pelis; performance; kunstikool; anatoomikum; tants; seenemaa; moeetendus; kollektsioon; disainer; mood; lavastaja; kõrgem; paju
5,10,9,11,10,10,10,10,6,18,pelis; performance; kunstikool; anatoomikum; tants; seenemaa; moeetendus; disainer; kollektsioon; mood; lavastaja; kõrgem; paju
