EstBERT,est-roberta,LaBSE,bertMulti,distilbertMulti,MiniLM_multi,MiniLM-L12_multi,multi_e5,xml_roberta,expected_amount,words
8,8,5,6,3,8,5,9,8,14,kirjanik; luuletaja; eesti; 40; hainsalu; leht; sõna; keel; kiri; vägi
7,8,5,6,3,8,5,10,8,14,kirjanik; 40; hainsalu; leht; keel; kiri; vägi; luuletaja; eesti; sõna
8,9,5,6,3,8,5,9,8,14,kirjanik; luuletaja; eesti; 40; hainsalu; leht; sõna; keel; kiri; vägi
8,9,7,6,4,8,6,9,8,14,kirjanik; 40; hainsalu; leht; keel; kiri; vägi; luuletaja; eesti; sõna
8,9,9,7,4,9,6,9,8,14,kirjanik; 40; hainsalu; leht; keel; kiri; vägi; luuletaja; eesti; sõna
8,9,9,7,6,8,8,9,8,14,kirjanik; 40; hainsalu; leht; keel; kiri; vägi; luuletaja; eesti; sõna
7,9,10,6,6,8,7,8,7,14,kirjanik; 40; hainsalu; leht; keel; kiri; vägi; luuletaja; eesti; sõna
7,8,9,9,7,7,8,9,8,14,kirjanik; 40; hainsalu; leht; keel; kiri; vägi; luuletaja; eesti; sõna
8,8,10,9,9,8,7,8,6,14,kirjanik; 40; hainsalu; leht; keel; kiri; vägi; luuletaja; eesti; sõna
8,7,7,8,8,7,7,9,7,14,kirjanik; 40; hainsalu; leht; keel; kiri; vägi; luuletaja; eesti; sõna
7,6,10,9,8,8,7,8,6,14,kirjanik; 40; hainsalu; leht; keel; kiri; vägi; luuletaja; eesti; sõna
