EstBERT,est-roberta,LaBSE,bertMulti,distilbertMulti,MiniLM_multi,MiniLM-L12_multi,multi_e5,xml_roberta,expected_amount,words
8,10,8,8,5,4,4,6,8,11,merehariduskeskus; rannavalve; hüdrodünaamika; veetee; radar; meremees; territoriaalvesi; päästeoperatsioon; liikluskontroll; kiirkaater; amet
8,10,8,8,5,4,5,6,8,11,merehariduskeskus; rannavalve; hüdrodünaamika; veetee; radar; meremees; territoriaalvesi; päästeoperatsioon; liikluskontroll; kiirkaater; amet
9,10,8,8,5,4,6,6,8,11,merehariduskeskus; rannavalve; hüdrodünaamika; veetee; radar; meremees; territoriaalvesi; päästeoperatsioon; liikluskontroll; kiirkaater; amet
9,10,9,8,5,6,7,6,8,11,merehariduskeskus; rannavalve; hüdrodünaamika; veetee; radar; meremees; territoriaalvesi; päästeoperatsioon; liikluskontroll; kiirkaater; amet
9,10,9,8,5,6,7,9,8,11,merehariduskeskus; rannavalve; hüdrodünaamika; veetee; radar; meremees; territoriaalvesi; päästeoperatsioon; liikluskontroll; kiirkaater; amet
9,9,8,8,6,10,8,9,8,11,merehariduskeskus; rannavalve; hüdrodünaamika; veetee; radar; meremees; territoriaalvesi; päästeoperatsioon; liikluskontroll; kiirkaater; amet
10,9,11,10,6,9,9,9,8,11,merehariduskeskus; rannavalve; hüdrodünaamika; veetee; meremees; radar; territoriaalvesi; päästeoperatsioon; liikluskontroll; kiirkaater; amet
9,10,9,7,7,9,9,9,6,11,merehariduskeskus; rannavalve; hüdrodünaamika; veetee; radar; meremees; territoriaalvesi; päästeoperatsioon; liikluskontroll; kiirkaater; amet
8,8,10,6,7,10,10,10,6,11,merehariduskeskus; rannavalve; hüdrodünaamika; veetee; meremees; radar; territoriaalvesi; päästeoperatsioon; liikluskontroll; kiirkaater; amet
7,8,10,6,7,9,10,10,7,11,merehariduskeskus; rannavalve; hüdrodünaamika; veetee; meremees; radar; territoriaalvesi; päästeoperatsioon; liikluskontroll; kiirkaater; amet
7,7,10,7,7,7,9,10,7,11,merehariduskeskus; rannavalve; hüdrodünaamika; veetee; meremees; radar; territoriaalvesi; päästeoperatsioon; liikluskontroll; kiirkaater; amet
