EstBERT,est-roberta,LaBSE,bertMulti,distilbertMulti,MiniLM_multi,MiniLM-L12_multi,multi_e5,xml_roberta,expected_amount,words
7,10,9,6,5,5,6,6,5,11,teadus; üliintellekt; filosoofia; tehnoloogiline; jõuluaeg; vaim; kunst; püha; usutunne; religioon; sekularism
7,8,9,6,5,5,5,7,6,11,teadus; üliintellekt; püha; filosoofia; tehnoloogiline; jõuluaeg; vaim; kunst; usutunne; religioon; sekularism
7,8,9,6,5,6,5,8,6,11,teadus; üliintellekt; filosoofia; tehnoloogiline; jõuluaeg; vaim; kunst; püha; usutunne; religioon; sekularism
7,9,8,6,6,6,6,8,7,11,teadus; üliintellekt; filosoofia; tehnoloogiline; jõuluaeg; vaim; kunst; püha; usutunne; religioon; sekularism
7,9,9,7,6,7,7,8,7,11,teadus; üliintellekt; filosoofia; tehnoloogiline; jõuluaeg; vaim; kunst; püha; usutunne; religioon; sekularism
6,9,6,5,6,8,8,9,7,11,teadus; üliintellekt; filosoofia; tehnoloogiline; jõuluaeg; vaim; kunst; püha; usutunne; religioon; sekularism
6,10,8,7,6,9,7,10,8,11,teadus; üliintellekt; filosoofia; tehnoloogiline; jõuluaeg; vaim; kunst; püha; usutunne; religioon; sekularism
10,9,9,8,8,8,8,9,7,11,teadus; üliintellekt; filosoofia; tehnoloogiline; jõuluaeg; vaim; kunst; püha; usutunne; religioon; sekularism
6,5,8,8,8,8,9,5,7,11,teadus; üliintellekt; filosoofia; tehnoloogiline; jõuluaeg; vaim; kunst; püha; usutunne; religioon; sekularism
8,7,6,9,8,8,5,7,7,11,teadus; üliintellekt; filosoofia; tehnoloogiline; jõuluaeg; vaim; kunst; püha; usutunne; religioon; sekularism
8,7,9,9,7,6,8,6,7,11,teadus; üliintellekt; filosoofia; tehnoloogiline; jõuluaeg; vaim; kunst; püha; usutunne; religioon; sekularism
