EstBERT,est-roberta,LaBSE,bertMulti,distilbertMulti,MiniLM_multi,MiniLM-L12_multi,multi_e5,xml_roberta,expected_amount,words
3,3,5,3,5,4,5,4,2,12,vangla; nurk; raamat; kirjade; sidepidamine; ämber; võitlus
3,3,5,3,5,4,5,4,2,12,vangla; nurk; raamat; kirjade; sidepidamine; ämber; võitlus
3,3,5,3,5,4,5,4,2,12,vangla; nurk; raamat; kirjade; sidepidamine; ämber; võitlus
3,3,5,3,5,4,5,4,2,12,vangla; nurk; raamat; kirjade; sidepidamine; ämber; võitlus
3,3,5,3,5,4,5,4,2,12,vangla; nurk; raamat; kirjade; sidepidamine; ämber; võitlus
3,3,5,3,5,4,5,4,2,12,vangla; nurk; raamat; kirjade; sidepidamine; ämber; võitlus
3,3,5,3,5,4,5,4,2,12,vangla; nurk; raamat; kirjade; sidepidamine; ämber; võitlus
3,3,5,3,5,4,5,4,2,12,vangla; nurk; raamat; kirjade; sidepidamine; ämber; võitlus
3,3,5,3,5,4,5,4,2,12,vangla; nurk; raamat; kirjade; sidepidamine; ämber; võitlus
3,3,5,3,5,4,5,4,2,12,vangla; nurk; raamat; kirjade; sidepidamine; ämber; võitlus
3,3,5,3,5,4,5,4,2,12,vangla; nurk; raamat; kirjade; sidepidamine; ämber; võitlus
