EstBERT,est-roberta,LaBSE,bertMulti,distilbertMulti,MiniLM_multi,MiniLM-L12_multi,multi_e5,xml_roberta,expected_amount,words
2,2,7,4,3,7,5,2,5,16,lasmann; piret; peeter; kriivan; tunnustus; tähelepanu; tiisler; toomas; naissoo; tarmo; jürgens; kersna; tõnu
2,2,7,4,3,7,5,2,5,16,lasmann; piret; peeter; kriivan; tunnustus; tähelepanu; tiisler; toomas; naissoo; tarmo; jürgens; kersna; tõnu
2,2,7,4,3,7,5,2,5,16,lasmann; piret; peeter; kriivan; tunnustus; tähelepanu; tiisler; toomas; naissoo; tarmo; jürgens; kersna; tõnu
2,2,7,4,3,7,5,2,5,16,lasmann; piret; peeter; kriivan; tunnustus; tähelepanu; tiisler; toomas; naissoo; tarmo; jürgens; kersna; tõnu
2,2,7,4,3,7,5,2,5,16,lasmann; piret; peeter; kriivan; tunnustus; tähelepanu; tiisler; toomas; naissoo; tarmo; jürgens; kersna; tõnu
2,2,7,4,3,7,5,2,5,16,lasmann; piret; peeter; kriivan; tunnustus; tähelepanu; tiisler; toomas; naissoo; tarmo; jürgens; kersna; tõnu
2,2,7,4,3,7,5,2,5,16,lasmann; piret; peeter; kriivan; tunnustus; tähelepanu; tiisler; toomas; naissoo; tarmo; jürgens; kersna; tõnu
2,2,7,4,3,7,5,2,5,16,lasmann; piret; peeter; kriivan; tunnustus; tähelepanu; tiisler; toomas; naissoo; tarmo; jürgens; kersna; tõnu
2,2,7,4,3,7,5,2,5,16,lasmann; piret; peeter; kriivan; tunnustus; tähelepanu; tiisler; toomas; naissoo; tarmo; jürgens; kersna; tõnu
2,2,7,4,3,7,5,2,5,16,lasmann; piret; peeter; kriivan; tunnustus; tähelepanu; tiisler; toomas; naissoo; tarmo; jürgens; kersna; tõnu
2,2,7,4,3,7,5,2,5,16,lasmann; piret; peeter; kriivan; tunnustus; tähelepanu; tiisler; toomas; naissoo; tarmo; jürgens; kersna; tõnu
