EstBERT,est-roberta,LaBSE,bertMulti,distilbertMulti,MiniLM_multi,MiniLM-L12_multi,multi_e5,xml_roberta,expected_amount,words
5,2,3,3,2,5,6,3,3,20,konstantinoopoli; neitsi; patriarh; kristuse; johannes; jumala; kolmas; basiilika; sostumus; efesose; gregorius; peetruse
5,2,3,3,2,5,6,3,3,20,konstantinoopoli; neitsi; patriarh; kristuse; johannes; jumala; kolmas; basiilika; sostumus; efesose; gregorius; peetruse
5,2,3,3,2,5,6,3,3,20,konstantinoopoli; neitsi; patriarh; kristuse; johannes; jumala; kolmas; basiilika; sostumus; efesose; gregorius; peetruse
5,2,3,3,2,5,6,3,3,20,konstantinoopoli; neitsi; patriarh; kristuse; johannes; jumala; kolmas; basiilika; sostumus; efesose; gregorius; peetruse
5,2,3,3,2,5,6,3,3,20,konstantinoopoli; neitsi; patriarh; kristuse; johannes; jumala; kolmas; basiilika; sostumus; efesose; gregorius; peetruse
5,2,3,3,2,5,6,3,3,20,konstantinoopoli; neitsi; patriarh; kristuse; johannes; jumala; kolmas; basiilika; sostumus; efesose; gregorius; peetruse
5,2,3,3,2,5,6,3,3,20,konstantinoopoli; neitsi; patriarh; kristuse; johannes; jumala; kolmas; basiilika; sostumus; efesose; gregorius; peetruse
5,2,3,3,2,5,6,2,3,20,konstantinoopoli; neitsi; patriarh; kristuse; johannes; jumala; kolmas; basiilika; sostumus; efesose; gregorius; peetruse
5,2,3,4,2,5,6,2,3,20,konstantinoopoli; neitsi; patriarh; kristuse; johannes; jumala; kolmas; basiilika; sostumus; efesose; gregorius; peetruse
5,2,3,4,2,5,6,3,3,20,konstantinoopoli; neitsi; patriarh; kristuse; johannes; jumala; kolmas; basiilika; sostumus; efesose; gregorius; peetruse
5,2,3,4,2,4,6,3,3,20,konstantinoopoli; neitsi; patriarh; kristuse; johannes; jumala; kolmas; basiilika; sostumus; efesose; gregorius; peetruse
