EstBERT,est-roberta,LaBSE,bertMulti,distilbertMulti,MiniLM_multi,MiniLM-L12_multi,multi_e5,xml_roberta,expected_amount,words
3,2,3,1,0,2,4,3,1,12,kultuuripäevad; vanemuise; vilimaa; tšehhoslovakkia; ülo; teatritrupp
3,2,3,1,0,2,4,3,1,12,kultuuripäevad; vanemuise; vilimaa; tšehhoslovakkia; ülo; teatritrupp
3,2,3,1,0,2,4,3,1,12,kultuuripäevad; vanemuise; vilimaa; tšehhoslovakkia; ülo; teatritrupp
3,2,3,1,0,2,4,3,1,12,kultuuripäevad; vanemuise; vilimaa; tšehhoslovakkia; ülo; teatritrupp
3,2,3,1,0,2,4,3,1,12,kultuuripäevad; vanemuise; vilimaa; tšehhoslovakkia; ülo; teatritrupp
3,2,3,1,0,2,4,3,1,12,kultuuripäevad; vanemuise; vilimaa; tšehhoslovakkia; ülo; teatritrupp
3,2,2,1,0,3,4,3,1,12,kultuuripäevad; vanemuise; vilimaa; tšehhoslovakkia; ülo; teatritrupp
3,2,2,2,0,3,5,3,1,12,kultuuripäevad; vanemuise; vilimaa; tšehhoslovakkia; ülo; teatritrupp
3,2,2,2,0,2,4,3,1,12,kultuuripäevad; vanemuise; vilimaa; tšehhoslovakkia; ülo; teatritrupp
3,2,1,2,0,2,4,3,1,12,kultuuripäevad; vanemuise; vilimaa; tšehhoslovakkia; ülo; teatritrupp
2,2,1,2,0,2,4,3,1,12,kultuuripäevad; vanemuise; vilimaa; tšehhoslovakkia; ülo; teatritrupp
