EstBERT,est-roberta,LaBSE,bertMulti,distilbertMulti,MiniLM_multi,MiniLM-L12_multi,multi_e5,xml_roberta,expected_amount,words
4,1,6,5,3,4,6,3,3,13,kümnevõistleja; andres; muusikamaitse; klassikaraadio; eesti; freddie; barcelona; mercury; raja
4,1,6,5,3,4,6,3,3,13,kümnevõistleja; andres; muusikamaitse; klassikaraadio; eesti; freddie; barcelona; mercury; raja
4,1,6,5,3,4,6,3,3,13,kümnevõistleja; andres; muusikamaitse; klassikaraadio; eesti; freddie; barcelona; mercury; raja
4,1,6,5,3,4,6,3,3,13,kümnevõistleja; andres; muusikamaitse; klassikaraadio; eesti; freddie; barcelona; mercury; raja
4,1,6,5,3,4,6,3,3,13,kümnevõistleja; andres; muusikamaitse; klassikaraadio; eesti; freddie; barcelona; mercury; raja
4,1,6,5,3,4,6,3,3,13,kümnevõistleja; andres; muusikamaitse; klassikaraadio; eesti; freddie; barcelona; mercury; raja
4,1,6,5,3,4,6,3,3,13,kümnevõistleja; andres; muusikamaitse; klassikaraadio; eesti; freddie; barcelona; mercury; raja
4,1,6,5,3,4,6,3,3,13,kümnevõistleja; andres; muusikamaitse; klassikaraadio; eesti; freddie; barcelona; mercury; raja
4,1,6,5,3,4,6,3,3,13,kümnevõistleja; andres; muusikamaitse; klassikaraadio; eesti; freddie; barcelona; mercury; raja
4,1,6,5,3,4,6,3,3,13,kümnevõistleja; andres; muusikamaitse; klassikaraadio; eesti; freddie; barcelona; mercury; raja
4,1,6,5,3,4,6,3,3,13,kümnevõistleja; andres; muusikamaitse; klassikaraadio; eesti; freddie; barcelona; mercury; raja
