EstBERT,est-roberta,LaBSE,bertMulti,distilbertMulti,MiniLM_multi,MiniLM-L12_multi,multi_e5,xml_roberta,expected_amount,words
2,2,5,2,4,5,5,2,1,16,aivar; kriska; narva; materjal; orgaaniline; savinõu; keraamika; kiviaja
2,2,5,2,4,5,5,2,1,16,aivar; kriska; narva; materjal; orgaaniline; savinõu; keraamika; kiviaja
2,2,5,2,4,5,5,2,1,16,aivar; kriska; narva; materjal; orgaaniline; savinõu; keraamika; kiviaja
2,2,5,2,4,5,5,2,1,16,aivar; kriska; narva; materjal; orgaaniline; savinõu; keraamika; kiviaja
2,2,5,2,4,5,5,2,1,16,aivar; kriska; narva; materjal; orgaaniline; savinõu; keraamika; kiviaja
2,2,5,2,4,5,5,2,1,16,aivar; kriska; narva; materjal; orgaaniline; savinõu; keraamika; kiviaja
2,2,5,2,4,5,5,2,1,16,aivar; kriska; narva; materjal; orgaaniline; savinõu; keraamika; kiviaja
2,2,5,2,4,5,5,2,1,16,aivar; kriska; narva; materjal; orgaaniline; savinõu; keraamika; kiviaja
2,2,5,2,4,5,5,2,1,16,aivar; kriska; narva; materjal; orgaaniline; savinõu; keraamika; kiviaja
2,2,5,2,4,5,5,2,1,16,aivar; kriska; narva; materjal; orgaaniline; savinõu; keraamika; kiviaja
2,2,5,2,4,5,5,2,1,16,aivar; kriska; narva; materjal; orgaaniline; savinõu; keraamika; kiviaja
