EstBERT,est-roberta,LaBSE,bertMulti,distilbertMulti,MiniLM_multi,MiniLM-L12_multi,multi_e5,xml_roberta,expected_amount,words
3,3,3,2,0,2,4,4,4,13,september; muusikapala; muusika; tõnismägi; tõnis; muusik
3,3,3,2,0,2,4,4,4,13,september; muusikapala; muusika; tõnismägi; tõnis; muusik
3,3,3,2,0,2,4,4,4,13,september; muusikapala; muusika; tõnismägi; tõnis; muusik
3,3,3,2,0,2,4,4,3,13,september; muusikapala; muusika; tõnismägi; tõnis; muusik
3,3,3,2,0,2,4,4,3,13,september; muusikapala; muusika; tõnismägi; tõnis; muusik
3,3,3,2,0,2,4,4,3,13,september; muusikapala; muusika; tõnismägi; tõnis; muusik
3,3,3,2,0,2,4,4,3,13,september; muusikapala; muusika; tõnismägi; tõnis; muusik
3,3,3,2,0,2,4,4,3,13,september; muusikapala; muusika; tõnismägi; tõnis; muusik
3,3,3,2,0,2,4,4,4,13,september; muusikapala; muusika; tõnismägi; tõnis; muusik
3,3,3,2,0,2,4,4,4,13,september; muusikapala; muusika; tõnismägi; tõnis; muusik
3,3,3,2,0,2,4,4,4,13,september; muusikapala; muusika; tõnismägi; tõnis; muusik
