EstBERT,est-roberta,LaBSE,bertMulti,distilbertMulti,MiniLM_multi,MiniLM-L12_multi,multi_e5,xml_roberta,expected_amount,words
3,1,5,4,1,3,2,4,3,14,soolariiul; martin; tuba; uus; kõrvalised; maja; isikud; suhkrusaiapidu
3,1,5,4,1,3,2,4,3,14,soolariiul; martin; tuba; uus; kõrvalised; maja; isikud; suhkrusaiapidu
3,1,5,4,1,3,2,4,3,14,soolariiul; martin; tuba; uus; kõrvalised; maja; isikud; suhkrusaiapidu
3,1,5,4,1,3,2,4,3,14,soolariiul; martin; tuba; uus; kõrvalised; maja; isikud; suhkrusaiapidu
3,1,5,4,1,3,2,4,3,14,soolariiul; martin; tuba; uus; kõrvalised; maja; isikud; suhkrusaiapidu
3,1,4,4,1,3,1,3,3,14,soolariiul; martin; tuba; uus; kõrvalised; maja; isikud; suhkrusaiapidu
3,1,4,3,1,4,1,2,3,14,soolariiul; martin; tuba; uus; kõrvalised; maja; isikud; suhkrusaiapidu
3,1,4,3,1,4,1,2,3,14,soolariiul; martin; tuba; uus; kõrvalised; maja; isikud; suhkrusaiapidu
3,1,4,2,1,5,1,3,3,14,soolariiul; martin; tuba; uus; kõrvalised; maja; isikud; suhkrusaiapidu
3,1,3,0,1,5,1,2,3,14,soolariiul; martin; tuba; uus; kõrvalised; maja; isikud; suhkrusaiapidu
3,1,4,0,1,4,1,2,3,14,soolariiul; martin; tuba; uus; kõrvalised; maja; isikud; suhkrusaiapidu
