EstBERT,est-roberta,LaBSE,bertMulti,distilbertMulti,MiniLM_multi,MiniLM-L12_multi,multi_e5,xml_roberta,expected_amount,words
4,3,3,2,1,1,1,2,2,12,lantanoid; neodüüm; braseodüüm; mendelejevi; klaas; muldmetall
4,3,3,2,1,1,1,2,2,12,lantanoid; neodüüm; braseodüüm; mendelejevi; klaas; muldmetall
4,3,3,2,1,1,1,2,2,12,lantanoid; neodüüm; braseodüüm; mendelejevi; klaas; muldmetall
4,3,3,2,1,1,1,2,2,12,lantanoid; neodüüm; braseodüüm; mendelejevi; klaas; muldmetall
4,3,3,2,1,1,1,2,2,12,lantanoid; neodüüm; braseodüüm; mendelejevi; klaas; muldmetall
4,3,3,2,1,1,1,2,2,12,lantanoid; neodüüm; braseodüüm; mendelejevi; klaas; muldmetall
4,3,3,2,1,1,1,2,2,12,lantanoid; neodüüm; braseodüüm; mendelejevi; klaas; muldmetall
4,3,3,2,1,1,1,2,2,12,lantanoid; neodüüm; braseodüüm; mendelejevi; klaas; muldmetall
4,3,3,2,1,1,1,2,2,12,lantanoid; neodüüm; braseodüüm; mendelejevi; klaas; muldmetall
4,3,3,2,1,1,1,2,2,12,lantanoid; neodüüm; braseodüüm; mendelejevi; klaas; muldmetall
4,3,3,2,1,1,1,2,2,12,lantanoid; neodüüm; braseodüüm; mendelejevi; klaas; muldmetall
