EstBERT,est-roberta,LaBSE,bertMulti,distilbertMulti,MiniLM_multi,MiniLM-L12_multi,multi_e5,xml_roberta,expected_amount,words
2,3,5,1,1,5,5,5,2,12,jõulud; rahuaeg; jaanuar; intensiivne; aasta; tegutsemisaeg
2,3,5,1,1,5,5,5,2,12,jõulud; rahuaeg; jaanuar; intensiivne; aasta; tegutsemisaeg
2,3,5,1,1,5,5,5,2,12,jõulud; rahuaeg; jaanuar; intensiivne; aasta; tegutsemisaeg
2,3,5,1,1,5,5,5,2,12,jõulud; rahuaeg; jaanuar; intensiivne; aasta; tegutsemisaeg
2,3,5,1,1,5,5,5,2,12,jõulud; rahuaeg; jaanuar; intensiivne; aasta; tegutsemisaeg
2,3,5,1,1,5,5,5,2,12,jõulud; rahuaeg; jaanuar; intensiivne; aasta; tegutsemisaeg
2,3,5,1,1,5,5,4,2,12,jõulud; rahuaeg; jaanuar; intensiivne; aasta; tegutsemisaeg
2,3,5,1,1,5,5,4,2,12,jõulud; rahuaeg; jaanuar; intensiivne; aasta; tegutsemisaeg
2,3,5,1,1,5,5,4,2,12,jõulud; rahuaeg; jaanuar; intensiivne; aasta; tegutsemisaeg
2,3,4,1,1,5,5,3,2,12,jõulud; rahuaeg; jaanuar; intensiivne; aasta; tegutsemisaeg
2,3,3,1,1,4,5,3,2,12,jõulud; rahuaeg; jaanuar; intensiivne; aasta; tegutsemisaeg
