EstBERT,est-roberta,LaBSE,bertMulti,distilbertMulti,MiniLM_multi,MiniLM-L12_multi,multi_e5,xml_roberta,expected_amount,words
6,4,8,4,3,4,4,7,2,14,dvd-plaadil; kommentaar; port; cbs; meediatarbimise; uudised; katsepolügoon; kristjan; internet; tehnoloogia; reklaamitulu
6,4,8,4,3,4,4,7,2,14,dvd-plaadil; kommentaar; port; cbs; meediatarbimise; uudised; katsepolügoon; kristjan; internet; tehnoloogia; reklaamitulu
6,4,8,4,3,4,4,7,2,14,dvd-plaadil; kommentaar; port; cbs; meediatarbimise; uudised; katsepolügoon; kristjan; internet; tehnoloogia; reklaamitulu
6,4,8,4,3,4,4,7,2,14,dvd-plaadil; kommentaar; port; cbs; meediatarbimise; uudised; katsepolügoon; kristjan; internet; tehnoloogia; reklaamitulu
6,4,8,4,3,4,4,7,2,14,dvd-plaadil; kommentaar; port; cbs; meediatarbimise; uudised; katsepolügoon; kristjan; internet; tehnoloogia; reklaamitulu
6,4,7,4,3,4,4,7,2,14,dvd-plaadil; kommentaar; port; cbs; meediatarbimise; uudised; katsepolügoon; kristjan; internet; tehnoloogia; reklaamitulu
6,4,7,4,3,4,4,7,2,14,dvd-plaadil; kommentaar; port; cbs; meediatarbimise; uudised; katsepolügoon; kristjan; internet; tehnoloogia; reklaamitulu
6,4,7,4,3,3,4,7,2,14,dvd-plaadil; kommentaar; port; cbs; meediatarbimise; uudised; katsepolügoon; kristjan; internet; tehnoloogia; reklaamitulu
6,4,7,4,2,3,3,7,2,14,dvd-plaadil; kommentaar; port; cbs; meediatarbimise; uudised; katsepolügoon; kristjan; internet; tehnoloogia; reklaamitulu
6,4,6,5,2,3,3,7,2,14,dvd-plaadil; kommentaar; port; cbs; meediatarbimise; uudised; katsepolügoon; kristjan; internet; tehnoloogia; reklaamitulu
6,4,6,5,2,3,3,7,2,14,dvd-plaadil; kommentaar; port; cbs; meediatarbimise; uudised; katsepolügoon; kristjan; internet; tehnoloogia; reklaamitulu
