Diversity Number,Model name,F1 score
0,EstBERT,0.0330967270441427
0,est-roberta,0.03296502672566251
0,LaBSE,0.07161641962004299
0,bertMulti,0.00786781779310515
0,distilbertMulti,0.014844206618005996
0,MiniLM-L12_multi,0.0538648741798139
0,multi_e5,0.06768851582459924
0,xml_roberta,0.02127565447398742
1,EstBERT,0.0330967270441427
1,est-roberta,0.03297972396258197
1,LaBSE,0.07117197517559855
1,bertMulti,0.00786781779310515
1,distilbertMulti,0.014844206618005996
1,MiniLM-L12_multi,0.05434796596725352
1,multi_e5,0.06768851582459924
1,xml_roberta,0.020736685244615714
2,EstBERT,0.0330967270441427
2,est-roberta,0.03297972396258197
2,LaBSE,0.07117197517559855
2,bertMulti,0.00786781779310515
2,distilbertMulti,0.014844206618005996
2,MiniLM-L12_multi,0.05434796596725352
2,multi_e5,0.06768851582459924
2,xml_roberta,0.021585923725433144
3,EstBERT,0.0330967270441427
3,est-roberta,0.03297972396258197
3,LaBSE,0.06679482031631097
3,bertMulti,0.00786781779310515
3,distilbertMulti,0.014844206618005996
3,MiniLM-L12_multi,0.05434796596725352
3,multi_e5,0.06768851582459924
3,xml_roberta,0.02048389276960102
4,EstBERT,0.03307659821966605
4,est-roberta,0.03217925335924398
4,LaBSE,0.06423145632695829
4,bertMulti,0.00786781779310515
4,distilbertMulti,0.014844206618005996
4,MiniLM-L12_multi,0.053989543028185406
4,multi_e5,0.06686598521191599
4,xml_roberta,0.02106328998057718
5,EstBERT,0.03269736428487656
5,est-roberta,0.03250173399502385
5,LaBSE,0.06499132063508835
5,bertMulti,0.0066128811588581715
5,distilbertMulti,0.014844206618005996
5,MiniLM-L12_multi,0.04806053491446742
5,multi_e5,0.05828551022571247
5,xml_roberta,0.021355687641395893
6,EstBERT,0.029013311638868174
6,est-roberta,0.03152106277755358
6,LaBSE,0.06507329726236352
6,bertMulti,0.00822169979276641
6,distilbertMulti,0.014844206618005996
6,MiniLM-L12_multi,0.04542690834745538
6,multi_e5,0.05695214159073307
6,xml_roberta,0.021355687641395893
7,EstBERT,0.026216377628437974
7,est-roberta,0.028313790474752982
7,LaBSE,0.0608607555929595
7,bertMulti,0.009377386126739693
7,distilbertMulti,0.014381243655043032
7,MiniLM-L12_multi,0.044710450695302155
7,multi_e5,0.05411777687376474
7,xml_roberta,0.02045381173951999
8,EstBERT,0.02506136590140177
8,est-roberta,0.02765600718971959
8,LaBSE,0.06226654998345124
8,bertMulti,0.013799061402630586
8,distilbertMulti,0.014381243655043032
8,MiniLM-L12_multi,0.04355275196278341
8,multi_e5,0.05395700471461476
8,xml_roberta,0.02275386375221568
9,EstBERT,0.022785373386195528
9,est-roberta,0.02811764332807768
9,LaBSE,0.05886289880867975
9,bertMulti,0.013629375121833194
9,distilbertMulti,0.01459434081016917
9,MiniLM-L12_multi,0.0398859654426768
9,multi_e5,0.04846328257783514
9,xml_roberta,0.022512772809370352
10,EstBERT,0.02275182410712195
10,est-roberta,0.02587506692289587
10,LaBSE,0.0654309145629345
10,bertMulti,0.01585887720463088
10,distilbertMulti,0.014413930601708473
10,MiniLM-L12_multi,0.0384952324175306
10,multi_e5,0.05120287053001862
10,xml_roberta,0.02066011929005017
