Diversity Number,Model name,F1 score
0,EstBERT,0.051553262123128746
0,est-roberta,0.056001020690200264
0,LaBSE,0.10818481468137671
0,bertMulti,0.027051617392838147
0,distilbertMulti,0.02102156709496588
0,MiniLM_multi,0.09282998763848609
0,MiniLM-L12_multi,0.11263725898286657
0,multi_e5,0.10815068283624711
0,xml_roberta,0.0306625601286199
1,EstBERT,0.051553262123128746
1,est-roberta,0.056001020690200264
1,LaBSE,0.10818481468137671
1,bertMulti,0.027051617392838147
1,distilbertMulti,0.02155066762406641
1,MiniLM_multi,0.09282998763848609
1,MiniLM-L12_multi,0.11263725898286657
1,multi_e5,0.10859512728069157
1,xml_roberta,0.031510777754615305
2,EstBERT,0.051553262123128746
2,est-roberta,0.056001020690200264
2,LaBSE,0.1085432376204448
2,bertMulti,0.027051617392838147
2,distilbertMulti,0.02155066762406641
2,MiniLM_multi,0.09282998763848609
2,MiniLM-L12_multi,0.11263725898286657
2,multi_e5,0.10859512728069157
2,xml_roberta,0.03183757514023622
3,EstBERT,0.051553262123128746
3,est-roberta,0.056001020690200264
3,LaBSE,0.10817736807295372
3,bertMulti,0.027051617392838147
3,distilbertMulti,0.02155066762406641
3,MiniLM_multi,0.09282998763848609
3,MiniLM-L12_multi,0.11263725898286657
3,multi_e5,0.10813216431772861
3,xml_roberta,0.030261806561199676
4,EstBERT,0.051553262123128746
4,est-roberta,0.056001020690200264
4,LaBSE,0.09574519185752703
4,bertMulti,0.026588654429875187
4,distilbertMulti,0.02155066762406641
4,MiniLM_multi,0.09167383306431617
4,MiniLM-L12_multi,0.11263725898286657
4,multi_e5,0.10768876778237806
4,xml_roberta,0.031103076402469516
5,EstBERT,0.052026521374165774
5,est-roberta,0.05409320658821442
5,LaBSE,0.08840084309107095
5,bertMulti,0.027051617392838147
5,distilbertMulti,0.02155066762406641
5,MiniLM_multi,0.08512605852044765
5,MiniLM-L12_multi,0.11315103048282567
5,multi_e5,0.10365550526059704
5,xml_roberta,0.031515729592900485
6,EstBERT,0.048115328589180696
6,est-roberta,0.05312963381818546
6,LaBSE,0.08424586956369216
6,bertMulti,0.025787957776438237
6,distilbertMulti,0.022055718129116914
6,MiniLM_multi,0.0866495981200587
6,MiniLM-L12_multi,0.10212957287891494
6,multi_e5,0.10032752096858667
6,xml_roberta,0.031572527442572725
7,EstBERT,0.04810193016238358
7,est-roberta,0.05342930564132472
7,LaBSE,0.08214361287711375
7,bertMulti,0.02535708748503742
7,distilbertMulti,0.02155066762406641
7,MiniLM_multi,0.08411056832996636
7,MiniLM-L12_multi,0.0996514759992681
7,multi_e5,0.09189414126002665
7,xml_roberta,0.03247516647021175
8,EstBERT,0.05149089917407886
8,est-roberta,0.05080449088755482
8,LaBSE,0.0818207943455036
8,bertMulti,0.028658013010053624
8,distilbertMulti,0.02102156709496588
8,MiniLM_multi,0.08637497418962709
8,MiniLM-L12_multi,0.09391075645519802
8,multi_e5,0.09013288464800635
8,xml_roberta,0.03255453154957683
9,EstBERT,0.04909076039787915
9,est-roberta,0.048780610145596835
9,LaBSE,0.08240316159239126
9,bertMulti,0.029530012409267305
9,distilbertMulti,0.021578725985458104
9,MiniLM_multi,0.0815817346350838
9,MiniLM-L12_multi,0.09435966310508939
9,multi_e5,0.08457293073989242
9,xml_roberta,0.03157520866326884
10,EstBERT,0.044688340890659116
10,est-roberta,0.04684359147979553
10,LaBSE,0.07793367587631754
10,bertMulti,0.032732677877608404
10,distilbertMulti,0.023432075534459827
10,MiniLM_multi,0.0797231614985632
10,MiniLM-L12_multi,0.0919533148184737
10,multi_e5,0.08561745188285902
10,xml_roberta,0.03239464951048747
