EstBERT,est-roberta,LaBSE,bertMulti,distilbertMulti,MiniLM_multi,MiniLM-L12_multi,multi_e5,xml_roberta,expected_amount,words
2,0,0,1,0,1,0,3,0,15,toomas; kadri; kriivan; meesnäitleja; tõnu; põlendik
2,0,0,1,0,1,0,3,0,15,toomas; kadri; kriivan; meesnäitleja; tõnu; põlendik
2,0,0,1,0,1,0,3,0,15,toomas; kadri; kriivan; meesnäitleja; tõnu; põlendik
2,0,0,1,0,1,0,3,0,15,toomas; kadri; kriivan; meesnäitleja; tõnu; põlendik
2,0,0,1,0,1,0,3,0,15,toomas; kadri; kriivan; meesnäitleja; tõnu; põlendik
2,0,0,1,0,1,0,3,0,15,toomas; kadri; kriivan; meesnäitleja; tõnu; põlendik
2,0,0,1,0,1,0,3,0,15,toomas; kadri; kriivan; meesnäitleja; tõnu; põlendik
2,0,0,1,0,1,0,3,0,15,toomas; kadri; kriivan; meesnäitleja; tõnu; põlendik
2,0,0,1,0,1,0,3,0,15,toomas; kadri; kriivan; meesnäitleja; tõnu; põlendik
2,0,0,1,0,1,0,3,0,15,toomas; kadri; kriivan; meesnäitleja; tõnu; põlendik
2,0,0,1,0,1,0,3,0,15,toomas; kadri; kriivan; meesnäitleja; tõnu; põlendik
