EstBERT,est-roberta,LaBSE,bertMulti,distilbertMulti,MiniLM_multi,MiniLM-L12_multi,multi_e5,xml_roberta,expected_amount,words
2,0,3,0,0,2,2,1,0,11,süsteem; jõulurõõm; kingitus; õnnetunne
2,0,3,0,0,2,2,1,0,11,süsteem; jõulurõõm; kingitus; õnnetunne
2,0,3,0,0,2,2,1,0,11,süsteem; jõulurõõm; kingitus; õnnetunne
2,0,3,0,0,2,2,1,0,11,süsteem; jõulurõõm; kingitus; õnnetunne
2,0,3,0,0,2,2,1,0,11,süsteem; jõulurõõm; kingitus; õnnetunne
2,0,3,0,0,2,2,1,0,11,süsteem; jõulurõõm; kingitus; õnnetunne
2,0,3,0,0,2,2,1,0,11,süsteem; jõulurõõm; kingitus; õnnetunne
2,0,3,0,0,2,2,1,0,11,süsteem; jõulurõõm; kingitus; õnnetunne
2,0,3,0,0,2,2,1,0,11,süsteem; jõulurõõm; kingitus; õnnetunne
2,0,3,0,0,2,2,1,0,11,süsteem; jõulurõõm; kingitus; õnnetunne
2,0,3,0,0,2,2,1,0,11,süsteem; jõulurõõm; kingitus; õnnetunne
