EstBERT,est-roberta,LaBSE,bertMulti,distilbertMulti,MiniLM_multi,MiniLM-L12_multi,multi_e5,xml_roberta,expected_amount,words
1,2,2,0,0,3,4,2,2,12,kaevamine; kivi; kultuur; narva; arheoloogiline; keraamika
1,2,2,0,0,3,4,2,2,12,kaevamine; kivi; kultuur; narva; arheoloogiline; keraamika
1,2,2,0,0,3,4,2,2,12,kaevamine; kivi; kultuur; narva; arheoloogiline; keraamika
1,2,2,0,0,3,4,2,2,12,kaevamine; kivi; kultuur; narva; arheoloogiline; keraamika
1,2,2,0,0,3,4,2,2,12,kaevamine; kivi; kultuur; narva; arheoloogiline; keraamika
1,2,2,0,0,3,4,2,2,12,kaevamine; kivi; kultuur; narva; arheoloogiline; keraamika
1,2,2,0,0,3,4,2,2,12,kaevamine; kivi; kultuur; narva; arheoloogiline; keraamika
1,2,2,0,0,3,4,2,2,12,kaevamine; kivi; kultuur; narva; arheoloogiline; keraamika
1,2,2,0,0,3,4,2,2,12,kaevamine; kivi; kultuur; narva; arheoloogiline; keraamika
1,2,2,0,0,3,4,2,2,12,kaevamine; kivi; kultuur; narva; arheoloogiline; keraamika
1,2,2,0,0,3,4,2,2,12,kaevamine; kivi; kultuur; narva; arheoloogiline; keraamika
