EstBERT,est-roberta,LaBSE,bertMulti,distilbertMulti,MiniLM_multi,MiniLM-L12_multi,multi_e5,xml_roberta,expected_amount,words
12,5,3,7,2,12,5,12,5,17,bänd; urmas; hasso; vadi; oidipus; luulekogu; polüfoonilisus; rütm; kraav; merilai; pehk; janek; jaan; nali; arne; krull
12,5,5,8,2,12,6,13,5,17,bänd; urmas; hasso; vadi; oidipus; luulekogu; polüfoonilisus; rütm; kraav; merilai; pehk; janek; jaan; nali; arne; krull
10,7,4,8,3,13,7,13,5,17,bänd; urmas; hasso; vadi; oidipus; luulekogu; polüfoonilisus; rütm; kraav; merilai; pehk; janek; jaan; nali; arne; krull
10,7,6,8,2,14,10,14,5,17,bänd; urmas; hasso; vadi; oidipus; luulekogu; polüfoonilisus; rütm; kraav; merilai; pehk; janek; jaan; nali; arne; krull
9,7,7,8,2,14,11,14,7,17,bänd; urmas; hasso; vadi; oidipus; luulekogu; polüfoonilisus; rütm; kraav; merilai; pehk; janek; jaan; nali; arne; krull
5,7,14,9,5,15,13,15,7,17,bänd; urmas; hasso; vadi; oidipus; luulekogu; polüfoonilisus; rütm; kraav; merilai; pehk; janek; jaan; nali; arne; krull
6,5,12,9,8,12,10,15,8,17,bänd; urmas; hasso; vadi; oidipus; polüfoonilisus; luulekogu; rütm; kraav; merilai; pehk; janek; jaan; nali; arne; krull
7,6,12,11,9,14,10,10,9,17,bänd; urmas; hasso; vadi; oidipus; polüfoonilisus; luulekogu; rütm; kraav; merilai; pehk; janek; jaan; nali; arne; krull
5,6,14,12,11,12,9,11,7,17,bänd; urmas; hasso; vadi; oidipus; luulekogu; polüfoonilisus; rütm; kraav; merilai; pehk; janek; jaan; nali; arne; krull
5,6,12,10,10,9,8,11,10,17,bänd; urmas; hasso; vadi; oidipus; luulekogu; polüfoonilisus; rütm; kraav; merilai; pehk; janek; jaan; nali; arne; krull
4,5,12,10,11,8,6,9,11,17,bänd; urmas; hasso; vadi; oidipus; luulekogu; polüfoonilisus; rütm; kraav; merilai; pehk; janek; jaan; arne; krull
