EstBERT,est-roberta,LaBSE,bertMulti,distilbertMulti,MiniLM_multi,MiniLM-L12_multi,multi_e5,xml_roberta,expected_amount,words
11,12,10,11,4,10,10,10,10,13,komisjon; salme; tartu; euro; euroopa; ants; johanson; üleminek; janek; inflatsioon; laevaliiklus; rahvakultuurifestiva
12,12,11,11,4,10,10,10,10,13,komisjon; salme; tartu; euro; euroopa; ants; johanson; üleminek; janek; laevaliiklus; rahvakultuurifestiva; inflatsioon
12,12,11,11,4,10,10,10,10,13,komisjon; salme; tartu; euro; euroopa; ants; johanson; üleminek; janek; laevaliiklus; rahvakultuurifestiva; inflatsioon
12,12,10,11,4,10,10,10,10,13,komisjon; salme; tartu; euro; euroopa; ants; johanson; üleminek; janek; laevaliiklus; rahvakultuurifestiva; inflatsioon
12,12,11,11,6,10,8,11,10,13,komisjon; salme; tartu; euro; euroopa; ants; johanson; üleminek; janek; laevaliiklus; rahvakultuurifestiva; inflatsioon
12,12,11,11,6,10,10,10,10,13,komisjon; salme; tartu; euro; euroopa; ants; johanson; üleminek; janek; laevaliiklus; rahvakultuurifestiva; inflatsioon
8,10,11,10,9,12,10,11,10,13,komisjon; salme; tartu; euro; euroopa; ants; johanson; üleminek; janek; laevaliiklus; rahvakultuurifestiva; inflatsioon
8,9,11,10,10,11,10,10,10,13,komisjon; salme; tartu; euro; euroopa; ants; johanson; üleminek; janek; laevaliiklus; rahvakultuurifestiva; inflatsioon
7,9,12,10,10,10,10,10,10,13,komisjon; salme; tartu; euro; euroopa; ants; johanson; üleminek; janek; laevaliiklus; rahvakultuurifestiva; inflatsioon
7,9,12,10,12,11,10,12,10,13,komisjon; salme; tartu; euro; euroopa; ants; johanson; üleminek; janek; laevaliiklus; rahvakultuurifestiva; inflatsioon
6,7,12,10,11,9,9,12,8,13,komisjon; salme; tartu; euro; euroopa; ants; johanson; üleminek; janek; laevaliiklus; rahvakultuurifestiva; inflatsioon
