EstBERT,est-roberta,LaBSE,bertMulti,distilbertMulti,MiniLM_multi,MiniLM-L12_multi,multi_e5,xml_roberta,expected_amount,words
9,9,4,9,6,5,6,6,6,11,kohv; koolitus; naturaalne; turismitalu; kodukohvik; keemia; ilves; pidu; kristi
9,9,6,9,6,5,7,5,6,11,kohv; koolitus; naturaalne; turismitalu; kodukohvik; keemia; ilves; pidu; kristi
9,9,7,9,6,5,7,5,6,11,kohv; koolitus; naturaalne; turismitalu; kodukohvik; keemia; ilves; pidu; kristi
9,9,8,9,6,6,7,6,7,11,kohv; koolitus; naturaalne; turismitalu; kodukohvik; keemia; ilves; pidu; kristi
9,9,9,9,8,7,7,8,7,11,kohv; koolitus; naturaalne; turismitalu; kodukohvik; keemia; ilves; pidu; kristi
9,9,9,9,8,9,9,8,7,11,kohv; koolitus; naturaalne; turismitalu; kodukohvik; keemia; ilves; pidu; kristi
9,9,9,9,8,9,9,9,7,11,kohv; koolitus; naturaalne; turismitalu; kodukohvik; keemia; ilves; pidu; kristi
9,9,9,9,8,8,9,9,7,11,kohv; koolitus; naturaalne; turismitalu; kodukohvik; keemia; ilves; pidu; kristi
9,8,9,9,9,8,9,9,9,11,kohv; koolitus; naturaalne; turismitalu; kodukohvik; keemia; ilves; pidu; kristi
9,8,9,9,9,9,9,9,8,11,kohv; koolitus; naturaalne; turismitalu; kodukohvik; keemia; ilves; pidu; kristi
9,9,9,8,9,9,9,9,8,11,kohv; koolitus; naturaalne; turismitalu; kodukohvik; keemia; ilves; pidu; kristi
