EstBERT,est-roberta,LaBSE,bertMulti,distilbertMulti,MiniLM_multi,MiniLM-L12_multi,multi_e5,xml_roberta,expected_amount,words
11,11,11,11,11,11,11,11,11,11,õppimine; täiskasvanu; ants; ettekujutus; peegel; muutuma; nägemus; enesetunnetus; sisemus; arvamus; tooming
11,11,11,11,11,11,11,11,11,11,õppimine; täiskasvanu; ants; ettekujutus; peegel; muutuma; nägemus; enesetunnetus; sisemus; arvamus; tooming
11,11,11,11,11,11,11,11,11,11,õppimine; täiskasvanu; ants; ettekujutus; peegel; muutuma; nägemus; enesetunnetus; sisemus; arvamus; tooming
11,11,11,11,11,11,11,11,11,11,õppimine; täiskasvanu; ants; ettekujutus; peegel; muutuma; nägemus; enesetunnetus; sisemus; arvamus; tooming
11,11,11,11,11,11,11,11,11,11,õppimine; täiskasvanu; ants; ettekujutus; peegel; muutuma; nägemus; enesetunnetus; sisemus; arvamus; tooming
11,11,11,11,11,11,11,11,11,11,õppimine; täiskasvanu; ants; ettekujutus; peegel; muutuma; nägemus; enesetunnetus; sisemus; arvamus; tooming
11,11,11,11,11,11,11,11,11,11,õppimine; täiskasvanu; ants; ettekujutus; peegel; muutuma; nägemus; enesetunnetus; sisemus; arvamus; tooming
11,11,11,11,11,11,11,11,11,11,õppimine; täiskasvanu; ants; ettekujutus; peegel; muutuma; nägemus; enesetunnetus; sisemus; arvamus; tooming
11,11,11,11,11,11,11,11,11,11,õppimine; täiskasvanu; ants; ettekujutus; peegel; muutuma; nägemus; enesetunnetus; sisemus; arvamus; tooming
11,11,11,11,11,11,11,11,11,11,õppimine; täiskasvanu; ants; ettekujutus; peegel; muutuma; nägemus; enesetunnetus; sisemus; arvamus; tooming
11,11,11,11,11,11,11,11,11,11,õppimine; täiskasvanu; ants; ettekujutus; peegel; muutuma; nägemus; enesetunnetus; sisemus; arvamus; tooming
