EstBERT,est-roberta,LaBSE,bertMulti,distilbertMulti,MiniLM_multi,MiniLM-L12_multi,multi_e5,xml_roberta,expected_amount,words
5,5,5,4,7,5,5,6,4,10,bänd; ladina-ameerika; gloria; tütar; kuuba; muusika; räpp; superstaar; kong
5,6,6,5,7,5,5,6,4,10,bänd; ladina-ameerika; gloria; tütar; kuuba; muusika; räpp; superstaar; kong
5,7,7,4,6,6,6,6,4,10,bänd; ladina-ameerika; gloria; tütar; kuuba; muusika; räpp; superstaar; kong
4,7,7,4,6,6,6,6,4,10,bänd; ladina-ameerika; gloria; tütar; kuuba; muusika; räpp; superstaar; kong
5,7,7,6,6,6,6,7,4,10,bänd; ladina-ameerika; gloria; tütar; kuuba; muusika; räpp; superstaar; kong
5,8,7,6,6,6,6,7,4,10,bänd; ladina-ameerika; gloria; tütar; kuuba; muusika; räpp; superstaar; kong
6,6,7,6,8,7,7,7,5,10,bänd; ladina-ameerika; gloria; tütar; kuuba; muusika; räpp; superstaar; kong
6,7,7,6,9,6,6,7,3,10,bänd; ladina-ameerika; gloria; tütar; muusika; kuuba; räpp; superstaar; kong
6,6,6,6,8,7,6,8,3,10,bänd; ladina-ameerika; gloria; tütar; muusika; kuuba; räpp; superstaar; kong
5,7,5,7,8,6,6,8,5,10,bänd; ladina-ameerika; gloria; tütar; kuuba; muusika; räpp; superstaar; kong
6,7,5,7,7,7,5,6,5,10,bänd; ladina-ameerika; gloria; tütar; kuuba; muusika; räpp; superstaar; kong
