EstBERT,est-roberta,LaBSE,bertMulti,distilbertMulti,MiniLM_multi,MiniLM-L12_multi,multi_e5,xml_roberta,expected_amount,words
12,7,8,8,5,6,6,8,9,14,hansapank; liivrand; mälberg; mall; juhan; aktsia; koalitsioon; võimuvõitlus; parts; enesetapuplahvatus; välisminister; harry; läbirääkimine; tuumarelv
12,8,8,8,7,6,6,10,9,14,hansapank; liivrand; mälberg; mall; juhan; aktsia; koalitsioon; võimuvõitlus; parts; enesetapuplahvatus; välisminister; harry; läbirääkimine; tuumarelv
14,8,9,8,7,6,6,12,9,14,hansapank; liivrand; mälberg; mall; juhan; aktsia; koalitsioon; võimuvõitlus; parts; enesetapuplahvatus; välisminister; harry; läbirääkimine; tuumarelv
13,8,9,9,7,6,6,12,7,14,hansapank; liivrand; mälberg; mall; juhan; aktsia; koalitsioon; võimuvõitlus; parts; enesetapuplahvatus; välisminister; harry; läbirääkimine; tuumarelv
13,8,12,10,7,9,6,13,7,14,hansapank; liivrand; mälberg; mall; juhan; aktsia; koalitsioon; võimuvõitlus; parts; enesetapuplahvatus; välisminister; harry; läbirääkimine; tuumarelv
14,11,12,11,7,12,13,13,7,14,hansapank; liivrand; mälberg; mall; juhan; aktsia; koalitsioon; võimuvõitlus; parts; enesetapuplahvatus; välisminister; harry; läbirääkimine; tuumarelv
10,12,13,12,9,11,9,14,6,14,hansapank; liivrand; mälberg; mall; juhan; aktsia; koalitsioon; võimuvõitlus; parts; enesetapuplahvatus; välisminister; harry; läbirääkimine; tuumarelv
11,10,13,13,9,13,13,12,10,14,hansapank; liivrand; mälberg; mall; juhan; aktsia; koalitsioon; võimuvõitlus; parts; enesetapuplahvatus; välisminister; harry; läbirääkimine; tuumarelv
9,12,14,12,12,12,12,13,12,14,hansapank; liivrand; mälberg; mall; juhan; aktsia; koalitsioon; võimuvõitlus; parts; enesetapuplahvatus; välisminister; harry; läbirääkimine; tuumarelv
9,8,13,12,11,12,11,11,10,14,hansapank; liivrand; mälberg; mall; juhan; aktsia; koalitsioon; võimuvõitlus; parts; enesetapuplahvatus; välisminister; harry; läbirääkimine; tuumarelv
10,8,13,11,11,12,10,10,11,14,hansapank; liivrand; mälberg; mall; juhan; aktsia; koalitsioon; võimuvõitlus; parts; enesetapuplahvatus; välisminister; harry; läbirääkimine; tuumarelv
