EstBERT,est-roberta,LaBSE,bertMulti,distilbertMulti,MiniLM_multi,MiniLM-L12_multi,multi_e5,xml_roberta,expected_amount,words
10,8,5,9,5,5,6,8,7,12,hitt; koht; raadiojaam; ameerika; jõesaar; räppar; esimene; andres; euroopa; edetab; lugu
10,9,5,9,7,5,6,8,7,12,hitt; koht; raadiojaam; ameerika; jõesaar; räppar; esimene; andres; euroopa; edetab; lugu
10,9,7,10,7,5,6,9,7,12,hitt; koht; raadiojaam; ameerika; jõesaar; räppar; esimene; andres; euroopa; edetab; lugu
10,10,8,10,7,6,7,9,7,12,hitt; koht; raadiojaam; ameerika; jõesaar; räppar; esimene; andres; euroopa; edetab; lugu
10,10,8,10,7,6,7,10,9,12,hitt; koht; raadiojaam; ameerika; jõesaar; räppar; esimene; andres; euroopa; edetab; lugu
9,10,9,10,7,8,7,11,9,12,hitt; koht; raadiojaam; ameerika; jõesaar; räppar; esimene; andres; euroopa; edetab; lugu
8,10,10,11,7,10,8,10,9,12,hitt; koht; raadiojaam; ameerika; jõesaar; räppar; esimene; andres; euroopa; edetab; lugu
8,11,9,8,8,9,9,11,11,12,hitt; koht; raadiojaam; ameerika; jõesaar; räppar; esimene; andres; euroopa; edetab; lugu
9,10,9,7,8,9,9,11,10,12,hitt; koht; raadiojaam; ameerika; jõesaar; räppar; esimene; andres; euroopa; edetab; lugu
9,10,10,7,7,10,9,11,7,12,hitt; koht; raadiojaam; ameerika; jõesaar; räppar; esimene; andres; euroopa; edetab; lugu
9,9,10,6,8,10,7,11,8,12,hitt; koht; raadiojaam; ameerika; jõesaar; räppar; esimene; andres; euroopa; edetab; lugu
