EstBERT,est-roberta,LaBSE,bertMulti,distilbertMulti,MiniLM_multi,MiniLM-L12_multi,multi_e5,xml_roberta,expected_amount,words
6,8,6,8,4,6,9,8,4,10,kontserdinärv; hobi; orkestriteos; trenn; pillimäng; klassikatäht; oboemängija; ebapopulaarne; muusikakeskkool
6,8,6,8,4,6,9,7,4,10,kontserdinärv; hobi; orkestriteos; trenn; pillimäng; klassikatäht; oboemängija; ebapopulaarne; muusikakeskkool
6,8,7,8,3,6,9,7,4,10,kontserdinärv; hobi; orkestriteos; trenn; pillimäng; klassikatäht; oboemängija; ebapopulaarne; muusikakeskkool
7,8,8,8,3,6,9,8,5,10,kontserdinärv; hobi; orkestriteos; trenn; pillimäng; klassikatäht; muusikakeskkool; oboemängija; ebapopulaarne
8,8,7,8,4,6,9,8,5,10,kontserdinärv; hobi; orkestriteos; trenn; pillimäng; klassikatäht; muusikakeskkool; oboemängija; ebapopulaarne
6,8,8,8,5,7,7,8,5,10,kontserdinärv; orkestriteos; hobi; trenn; pillimäng; klassikatäht; muusikakeskkool; oboemängija; ebapopulaarne
7,9,9,9,4,7,8,9,6,10,kontserdinärv; hobi; ebapopulaarne; orkestriteos; trenn; pillimäng; klassikatäht; oboemängija; muusikakeskkool
7,8,7,7,7,6,7,9,5,10,kontserdinärv; orkestriteos; hobi; trenn; pillimäng; klassikatäht; oboemängija; ebapopulaarne; muusikakeskkool
7,6,9,6,7,6,7,9,5,10,kontserdinärv; orkestriteos; hobi; trenn; pillimäng; klassikatäht; muusikakeskkool; oboemängija; ebapopulaarne
8,9,8,5,6,6,6,9,8,10,kontserdinärv; orkestriteos; hobi; trenn; pillimäng; klassikatäht; muusikakeskkool; oboemängija; ebapopulaarne
8,6,9,5,7,5,8,8,9,10,kontserdinärv; orkestriteos; hobi; trenn; pillimäng; klassikatäht; muusikakeskkool; oboemängija; ebapopulaarne
