EstBERT,est-roberta,LaBSE,bertMulti,distilbertMulti,MiniLM_multi,MiniLM-L12_multi,multi_e5,xml_roberta,expected_amount,words
7,10,8,11,4,10,8,9,7,12,esinemine; arder; muusikakool; armastus; süda; õppima; luhats; muusikaõping; toomas; muusika; helin-mari; helilooja
7,10,8,11,4,12,8,9,7,12,esinemine; arder; muusikakool; armastus; süda; õppima; luhats; muusikaõping; toomas; muusika; helin-mari; helilooja
7,10,9,11,4,12,10,10,6,12,esinemine; arder; muusikakool; armastus; süda; õppima; luhats; muusikaõping; toomas; muusika; helin-mari; helilooja
7,12,9,11,4,12,10,9,6,12,esinemine; arder; muusikakool; armastus; süda; õppima; luhats; muusikaõping; toomas; muusika; helin-mari; helilooja
7,12,10,11,5,12,10,10,6,12,esinemine; arder; muusikakool; armastus; süda; õppima; luhats; muusikaõping; toomas; muusika; helin-mari; helilooja
8,12,11,10,6,11,10,10,6,12,esinemine; arder; muusikakool; armastus; süda; õppima; luhats; muusikaõping; toomas; muusika; helin-mari; helilooja
10,9,11,10,7,11,11,11,7,12,esinemine; arder; muusikakool; armastus; süda; õppima; luhats; muusikaõping; toomas; helin-mari; muusika; helilooja
10,8,11,10,6,11,10,11,7,12,esinemine; arder; muusikakool; armastus; süda; õppima; luhats; muusikaõping; toomas; muusika; helilooja; helin-mari
9,9,9,10,8,11,10,11,6,12,esinemine; arder; muusikakool; armastus; süda; õppima; luhats; muusikaõping; toomas; muusika; helilooja; helin-mari
9,9,8,9,9,11,10,12,7,12,esinemine; arder; armastus; muusikakool; süda; õppima; luhats; muusikaõping; toomas; muusika; helilooja; helin-mari
8,9,8,9,11,11,10,11,8,12,esinemine; arder; muusikakool; armastus; süda; õppima; luhats; muusikaõping; toomas; muusika; helilooja; helin-mari
