EstBERT,est-roberta,LaBSE,bertMulti,distilbertMulti,MiniLM_multi,MiniLM-L12_multi,multi_e5,xml_roberta,expected_amount,words
3,5,7,6,6,4,4,5,7,16,heinrich; piits; pille-riin; koer; purje; hoffmann; prints; hirm; jaak; pöia
4,5,5,6,6,4,4,5,7,16,heinrich; piits; pille-riin; koer; purje; hoffmann; prints; hirm; jaak; pöia
5,5,7,6,7,4,4,5,7,16,heinrich; piits; pille-riin; koer; purje; hoffmann; prints; hirm; jaak; pöia
5,5,7,5,7,4,6,6,7,16,heinrich; piits; pille-riin; koer; purje; hoffmann; prints; hirm; jaak; pöia
5,5,7,7,7,6,7,7,7,16,heinrich; piits; pille-riin; koer; purje; hoffmann; prints; hirm; jaak; pöia
6,5,9,7,7,6,7,8,7,16,heinrich; piits; pille-riin; koer; purje; hoffmann; prints; hirm; jaak; pöia
7,7,8,7,9,7,8,8,7,16,heinrich; hirm; piits; pille-riin; koer; purje; hoffmann; prints; jaak; pöia
6,8,9,8,9,7,9,9,7,16,heinrich; hirm; pille-riin; piits; koer; purje; hoffmann; prints; jaak; pöia
6,5,6,8,10,8,8,8,7,16,heinrich; hirm; pille-riin; piits; koer; purje; hoffmann; prints; jaak; pöia
6,7,7,9,9,8,7,7,6,16,heinrich; hirm; pille-riin; piits; purje; koer; hoffmann; prints; jaak; pöia
5,9,6,9,9,8,8,8,7,16,heinrich; hirm; pille-riin; piits; koer; purje; hoffmann; prints; jaak; pöia
