EstBERT,est-roberta,LaBSE,bertMulti,distilbertMulti,MiniLM_multi,MiniLM-L12_multi,multi_e5,xml_roberta,expected_amount,words
10,7,6,7,5,8,8,9,7,14,peeter; komme; urmas; virro; keiu; võõras; probleem; kloun; lavastaja; vadi; isiklik
10,7,8,8,4,8,8,9,7,14,peeter; komme; urmas; virro; keiu; võõras; probleem; kloun; lavastaja; vadi; isiklik
10,6,8,8,5,8,8,9,9,14,peeter; komme; urmas; virro; keiu; võõras; probleem; kloun; lavastaja; vadi; isiklik
10,8,9,8,6,9,9,9,9,14,peeter; komme; urmas; virro; keiu; võõras; probleem; kloun; lavastaja; vadi; isiklik
10,8,9,9,7,11,9,9,9,14,peeter; komme; urmas; virro; keiu; võõras; probleem; kloun; lavastaja; vadi; isiklik
9,9,10,9,7,11,11,9,9,14,peeter; komme; urmas; virro; keiu; võõras; probleem; kloun; lavastaja; vadi; isiklik
10,9,10,9,9,11,10,10,9,14,peeter; komme; urmas; virro; keiu; võõras; probleem; kloun; lavastaja; vadi; isiklik
7,10,8,11,10,10,10,10,9,14,peeter; komme; urmas; virro; keiu; võõras; probleem; kloun; lavastaja; vadi; isiklik
9,10,9,11,10,11,10,10,10,14,peeter; komme; urmas; virro; keiu; võõras; probleem; kloun; lavastaja; vadi; isiklik
10,10,10,11,11,11,10,9,10,14,peeter; komme; urmas; virro; keiu; võõras; probleem; kloun; lavastaja; vadi; isiklik
10,10,9,11,11,11,10,9,10,14,peeter; komme; urmas; virro; keiu; võõras; probleem; kloun; lavastaja; vadi; isiklik
