EstBERT,est-roberta,LaBSE,bertMulti,distilbertMulti,MiniLM_multi,MiniLM-L12_multi,multi_e5,xml_roberta,expected_amount,words
8,8,8,8,8,8,8,8,8,11,nurk; washington; alandlikkus; väärtus; ohtlik; seadus; heino; autoriteet
8,8,8,8,8,8,8,8,8,11,nurk; washington; alandlikkus; väärtus; ohtlik; seadus; heino; autoriteet
8,8,8,8,8,8,8,8,8,11,nurk; washington; alandlikkus; väärtus; ohtlik; seadus; heino; autoriteet
8,8,8,8,8,8,8,8,8,11,nurk; washington; alandlikkus; väärtus; ohtlik; seadus; heino; autoriteet
8,8,8,8,8,8,8,8,8,11,nurk; washington; alandlikkus; väärtus; ohtlik; seadus; heino; autoriteet
8,8,8,8,8,8,8,8,8,11,nurk; washington; alandlikkus; väärtus; ohtlik; seadus; heino; autoriteet
8,8,8,8,8,8,8,8,8,11,nurk; washington; alandlikkus; väärtus; ohtlik; seadus; heino; autoriteet
8,8,8,8,8,8,8,8,8,11,nurk; washington; alandlikkus; väärtus; ohtlik; seadus; heino; autoriteet
8,8,8,8,8,8,8,8,8,11,nurk; washington; alandlikkus; väärtus; ohtlik; seadus; heino; autoriteet
8,8,8,8,8,8,8,8,8,11,nurk; washington; alandlikkus; väärtus; ohtlik; seadus; heino; autoriteet
8,8,8,8,8,8,8,8,8,11,nurk; washington; alandlikkus; väärtus; ohtlik; seadus; heino; autoriteet
