EstBERT,est-roberta,LaBSE,bertMulti,distilbertMulti,MiniLM_multi,MiniLM-L12_multi,multi_e5,xml_roberta,expected_amount,words
7,7,5,8,4,7,6,7,8,15,park; paruness; fantaasiapidu; loss; ehitama; amsterdam; värvitoon; luksuslik; restaureerimistöö; sisekujundus; haldjas
7,7,7,8,4,7,6,7,8,15,park; paruness; fantaasiapidu; loss; ehitama; amsterdam; värvitoon; luksuslik; restaureerimistöö; sisekujundus; haldjas
8,7,5,9,4,7,6,7,8,15,park; paruness; fantaasiapidu; loss; ehitama; amsterdam; värvitoon; luksuslik; restaureerimistöö; sisekujundus; haldjas
8,7,6,9,4,6,6,6,8,15,park; paruness; fantaasiapidu; loss; ehitama; amsterdam; värvitoon; luksuslik; restaureerimistöö; sisekujundus; haldjas
7,6,8,9,5,5,7,8,8,15,park; paruness; fantaasiapidu; loss; ehitama; amsterdam; värvitoon; luksuslik; restaureerimistöö; sisekujundus; haldjas
7,7,7,9,6,9,7,9,8,15,park; paruness; fantaasiapidu; loss; ehitama; amsterdam; värvitoon; luksuslik; restaureerimistöö; sisekujundus; haldjas
10,10,7,6,6,8,8,9,9,15,park; paruness; fantaasiapidu; loss; ehitama; amsterdam; värvitoon; luksuslik; restaureerimistöö; sisekujundus; haldjas
7,9,8,6,6,10,8,9,8,15,park; paruness; fantaasiapidu; loss; ehitama; amsterdam; värvitoon; luksuslik; restaureerimistöö; sisekujundus; haldjas
7,7,9,8,7,7,7,10,7,15,park; paruness; fantaasiapidu; loss; ehitama; amsterdam; värvitoon; luksuslik; restaureerimistöö; sisekujundus; haldjas
8,9,8,9,6,9,10,9,8,15,park; paruness; fantaasiapidu; loss; ehitama; amsterdam; värvitoon; luksuslik; restaureerimistöö; sisekujundus; haldjas
6,9,9,9,6,8,9,6,7,15,park; paruness; fantaasiapidu; loss; ehitama; amsterdam; värvitoon; luksuslik; restaureerimistöö; sisekujundus; haldjas
