EstBERT,est-roberta,LaBSE,bertMulti,distilbertMulti,MiniLM_multi,MiniLM-L12_multi,multi_e5,xml_roberta,expected_amount,words
8,8,8,8,7,8,7,7,8,11,jakobson; kreutzwald; eesti; rahvakultuur; raamat; inimene; sündmus; rahvajutt
8,8,8,8,7,8,7,7,8,11,jakobson; kreutzwald; eesti; rahvakultuur; raamat; inimene; sündmus; rahvajutt
8,8,8,8,7,8,7,7,8,11,jakobson; kreutzwald; eesti; rahvakultuur; raamat; inimene; sündmus; rahvajutt
8,8,8,8,7,8,7,7,8,11,jakobson; kreutzwald; eesti; rahvakultuur; raamat; inimene; sündmus; rahvajutt
8,8,8,8,7,8,7,8,8,11,jakobson; kreutzwald; eesti; rahvakultuur; raamat; inimene; sündmus; rahvajutt
8,8,8,8,8,8,8,8,8,11,jakobson; kreutzwald; eesti; rahvakultuur; raamat; inimene; sündmus; rahvajutt
8,8,8,8,8,8,8,8,8,11,jakobson; kreutzwald; eesti; rahvakultuur; raamat; inimene; sündmus; rahvajutt
8,8,8,8,8,8,8,8,8,11,jakobson; kreutzwald; eesti; rahvakultuur; raamat; inimene; sündmus; rahvajutt
7,8,8,8,8,8,8,8,8,11,jakobson; kreutzwald; rahvajutt; eesti; rahvakultuur; raamat; inimene; sündmus
7,8,8,8,8,8,8,8,8,11,jakobson; kreutzwald; rahvajutt; eesti; rahvakultuur; raamat; inimene; sündmus
7,8,8,8,8,8,8,8,8,11,jakobson; kreutzwald; rahvajutt; eesti; rahvakultuur; raamat; inimene; sündmus
