EstBERT,est-roberta,LaBSE,bertMulti,distilbertMulti,MiniLM_multi,MiniLM-L12_multi,multi_e5,xml_roberta,expected_amount,words
8,10,8,10,2,5,6,8,10,14,vinger; lavastus; industriaalrokk; muusikanõukogu; mart; festival; rajasaar; raadio; merivoo-parro; singer; kristo; maarja; kosmoseteadlane
8,10,7,10,2,6,6,8,9,14,vinger; lavastus; industriaalrokk; muusikanõukogu; mart; festival; rajasaar; raadio; merivoo-parro; singer; kristo; maarja; kosmoseteadlane
8,12,7,10,2,6,6,9,9,14,kosmoseteadlane; vinger; lavastus; industriaalrokk; muusikanõukogu; mart; festival; rajasaar; raadio; merivoo-parro; maarja; kristo; singer
9,12,8,10,3,7,6,9,9,14,vinger; lavastus; industriaalrokk; muusikanõukogu; mart; festival; rajasaar; raadio; merivoo-parro; singer; kristo; maarja; kosmoseteadlane
8,13,11,11,3,8,7,12,9,14,kosmoseteadlane; vinger; lavastus; industriaalrokk; muusikanõukogu; mart; festival; rajasaar; raadio; merivoo-parro; maarja; kristo; singer
8,12,11,11,3,8,9,11,9,14,vinger; lavastus; industriaalrokk; muusikanõukogu; mart; festival; rajasaar; raadio; merivoo-parro; singer; kristo; maarja; kosmoseteadlane
9,11,12,12,4,10,9,10,9,14,vinger; lavastus; industriaalrokk; muusikanõukogu; mart; festival; rajasaar; raadio; merivoo-parro; maarja; kristo; singer; kosmoseteadlane
8,8,10,11,6,12,9,12,9,14,vinger; lavastus; industriaalrokk; muusikanõukogu; mart; festival; rajasaar; raadio; merivoo-parro; maarja; singer; kristo; kosmoseteadlane
7,10,12,12,9,9,9,9,9,14,vinger; lavastus; industriaalrokk; muusikanõukogu; mart; festival; rajasaar; raadio; merivoo-parro; maarja; kristo; singer; kosmoseteadlane
7,9,11,11,9,9,11,9,9,14,vinger; lavastus; industriaalrokk; muusikanõukogu; mart; festival; rajasaar; raadio; merivoo-parro; maarja; kristo; singer; kosmoseteadlane
7,7,10,11,9,10,8,9,8,14,kosmoseteadlane; vinger; lavastus; industriaalrokk; muusikanõukogu; mart; festival; rajasaar; raadio; merivoo-parro; maarja; kristo; singer
