EstBERT,est-roberta,LaBSE,bertMulti,distilbertMulti,MiniLM_multi,MiniLM-L12_multi,multi_e5,xml_roberta,expected_amount,words
8,7,6,5,2,5,3,6,8,14,selts; estonia; teater; eesti; vene; keel; kultuur; vanemuine
8,7,6,5,2,5,3,7,8,14,selts; estonia; teater; eesti; vene; keel; kultuur; vanemuine
8,7,6,5,4,5,2,7,7,14,selts; estonia; teater; eesti; vene; keel; kultuur; vanemuine
8,7,6,5,3,4,2,7,7,14,selts; estonia; teater; eesti; vene; keel; kultuur; vanemuine
8,7,7,7,5,4,3,7,7,14,selts; estonia; teater; eesti; vene; keel; kultuur; vanemuine
8,6,7,8,6,6,3,7,7,14,selts; estonia; teater; eesti; vene; keel; kultuur; vanemuine
8,7,7,8,6,6,5,6,7,14,selts; estonia; teater; eesti; vene; keel; kultuur; vanemuine
7,7,7,8,7,7,5,7,6,14,selts; estonia; teater; eesti; vene; keel; kultuur; vanemuine
7,8,6,8,7,5,6,7,6,14,selts; estonia; teater; eesti; vene; keel; kultuur; vanemuine
7,7,7,8,8,7,6,6,6,14,estonia; teater; eesti; vene; keel; selts; kultuur; vanemuine
8,7,6,8,8,6,6,7,5,14,selts; estonia; teater; eesti; vene; keel; kultuur; vanemuine
