EstBERT,est-roberta,LaBSE,bertMulti,distilbertMulti,MiniLM_multi,MiniLM-L12_multi,multi_e5,xml_roberta,expected_amount,words
12,10,6,9,3,8,11,14,14,17,mäger; antoloogia; bett; gustav; mart; suits; karl; luuletaja; rummo; alver; eesti; sööt; muru; luulealbum; paul-eerik
13,10,8,9,3,8,11,14,14,17,mäger; antoloogia; bett; gustav; mart; suits; karl; luuletaja; rummo; alver; eesti; sööt; muru; luulealbum; paul-eerik
13,9,7,9,6,8,11,14,14,17,mäger; antoloogia; bett; gustav; mart; suits; karl; luuletaja; rummo; alver; eesti; sööt; muru; luulealbum; paul-eerik
13,9,13,9,6,9,12,14,14,17,mäger; antoloogia; bett; gustav; mart; suits; karl; luuletaja; rummo; alver; eesti; sööt; muru; luulealbum; paul-eerik
13,10,14,9,6,10,11,14,14,17,mäger; antoloogia; bett; gustav; mart; suits; karl; luuletaja; rummo; alver; eesti; sööt; muru; luulealbum; paul-eerik
9,8,14,11,6,12,11,15,14,17,mäger; antoloogia; bett; gustav; mart; suits; karl; luuletaja; rummo; alver; eesti; muru; sööt; luulealbum; paul-eerik
10,9,14,14,8,15,13,15,14,17,mäger; antoloogia; bett; gustav; mart; suits; karl; luuletaja; rummo; alver; eesti; sööt; muru; luulealbum; paul-eerik
12,11,15,14,12,15,11,15,14,17,mäger; antoloogia; bett; gustav; mart; suits; karl; luuletaja; rummo; alver; eesti; muru; sööt; luulealbum; paul-eerik
9,12,14,12,11,13,15,14,14,17,mäger; antoloogia; bett; gustav; mart; suits; karl; luuletaja; rummo; alver; eesti; sööt; muru; luulealbum; paul-eerik
9,11,13,12,13,14,13,14,14,17,mäger; antoloogia; bett; gustav; mart; suits; karl; luuletaja; rummo; alver; eesti; sööt; muru; luulealbum; paul-eerik
9,12,14,12,13,14,13,14,12,17,mäger; antoloogia; bett; gustav; mart; suits; karl; luuletaja; rummo; alver; eesti; sööt; muru; luulealbum; paul-eerik
