EstBERT,est-roberta,LaBSE,bertMulti,distilbertMulti,MiniLM_multi,MiniLM-L12_multi,multi_e5,xml_roberta,expected_amount,words
10,6,5,9,4,6,4,7,7,12,julgus; ülikool; hall; näitleja; lavakas; mass; raha; ajakirjandus; eriline; aule; tasuline; kristi
10,6,5,9,4,6,4,8,7,12,julgus; ülikool; hall; näitleja; lavakas; mass; raha; ajakirjandus; eriline; aule; tasuline; kristi
10,6,6,9,4,7,5,9,7,12,julgus; ülikool; hall; näitleja; lavakas; mass; raha; ajakirjandus; eriline; aule; tasuline; kristi
10,7,8,10,4,7,5,9,6,12,julgus; ülikool; hall; näitleja; lavakas; mass; raha; ajakirjandus; eriline; aule; tasuline; kristi
10,7,10,10,5,8,8,9,6,12,julgus; ülikool; hall; näitleja; lavakas; mass; raha; ajakirjandus; eriline; aule; tasuline; kristi
6,8,11,9,4,10,10,8,7,12,julgus; ülikool; hall; näitleja; mass; raha; ajakirjandus; kristi; eriline; aule; tasuline; lavakas
6,8,11,12,4,12,11,12,7,12,julgus; ülikool; hall; näitleja; mass; raha; ajakirjandus; kristi; eriline; aule; tasuline; lavakas
6,8,11,10,5,10,10,12,6,12,julgus; ülikool; hall; näitleja; mass; raha; ajakirjandus; kristi; eriline; aule; tasuline; lavakas
5,9,11,7,5,9,9,8,5,12,julgus; ülikool; hall; näitleja; mass; raha; ajakirjandus; kristi; eriline; aule; tasuline; lavakas
4,9,12,7,7,9,6,10,7,12,julgus; ülikool; hall; näitleja; mass; raha; ajakirjandus; kristi; eriline; aule; tasuline; lavakas
5,9,11,6,8,10,9,9,7,12,julgus; ülikool; hall; näitleja; lavakas; mass; raha; ajakirjandus; eriline; aule; tasuline; kristi
