EstBERT,est-roberta,LaBSE,bertMulti,distilbertMulti,MiniLM_multi,MiniLM-L12_multi,multi_e5,xml_roberta,expected_amount,words
11,4,8,10,5,5,6,7,6,12,james; aeg; bond; hommikuprogramm; televiisor; energia; klassikokkutulek; raadio; ansambel; merivoo-parro; album; maarja
11,4,8,10,5,5,7,7,6,12,james; aeg; bond; hommikuprogramm; televiisor; energia; klassikokkutulek; raadio; ansambel; merivoo-parro; album; maarja
11,6,10,9,5,5,7,6,6,12,james; aeg; bond; hommikuprogramm; televiisor; energia; klassikokkutulek; raadio; ansambel; merivoo-parro; album; maarja
11,6,10,9,5,6,7,7,6,12,james; aeg; bond; hommikuprogramm; televiisor; energia; klassikokkutulek; raadio; ansambel; merivoo-parro; album; maarja
10,5,10,10,7,7,8,11,7,12,james; aeg; bond; hommikuprogramm; televiisor; energia; klassikokkutulek; raadio; ansambel; merivoo-parro; album; maarja
11,6,11,9,6,10,9,12,8,12,james; aeg; bond; hommikuprogramm; televiisor; energia; klassikokkutulek; raadio; ansambel; merivoo-parro; maarja; album
9,8,11,10,8,10,11,11,9,12,aeg; james; bond; hommikuprogramm; televiisor; energia; klassikokkutulek; raadio; ansambel; merivoo-parro; maarja; album
11,9,12,11,8,10,12,12,9,12,aeg; james; bond; hommikuprogramm; televiisor; energia; klassikokkutulek; raadio; ansambel; merivoo-parro; album; maarja
9,8,11,11,10,11,10,11,10,12,aeg; james; bond; hommikuprogramm; televiisor; energia; klassikokkutulek; raadio; ansambel; merivoo-parro; album; maarja
10,9,9,11,10,11,10,11,11,12,aeg; james; bond; hommikuprogramm; televiisor; energia; klassikokkutulek; raadio; ansambel; merivoo-parro; album; maarja
9,11,9,10,10,11,10,10,11,12,aeg; james; bond; hommikuprogramm; televiisor; energia; klassikokkutulek; raadio; ansambel; merivoo-parro; album; maarja
