EstBERT,est-roberta,LaBSE,bertMulti,distilbertMulti,MiniLM_multi,MiniLM-L12_multi,multi_e5,xml_roberta,expected_amount,words
10,10,10,10,10,10,10,10,10,10,teadus; teadlane; akadeemia; rahvusvaheline; valitsus; iseseisvuspäev; õpe; tulemus; riigikogu; väljapaistev
10,10,10,10,10,10,10,10,10,10,teadus; teadlane; akadeemia; rahvusvaheline; valitsus; iseseisvuspäev; õpe; tulemus; riigikogu; väljapaistev
10,10,10,10,10,10,10,10,10,10,teadus; teadlane; akadeemia; rahvusvaheline; valitsus; iseseisvuspäev; õpe; tulemus; riigikogu; väljapaistev
10,10,10,10,10,10,10,10,10,10,teadus; teadlane; akadeemia; rahvusvaheline; valitsus; iseseisvuspäev; õpe; tulemus; riigikogu; väljapaistev
10,10,10,10,10,10,10,10,10,10,teadus; teadlane; akadeemia; rahvusvaheline; valitsus; iseseisvuspäev; õpe; tulemus; riigikogu; väljapaistev
10,10,10,10,10,10,10,10,10,10,teadus; teadlane; akadeemia; rahvusvaheline; valitsus; iseseisvuspäev; õpe; tulemus; riigikogu; väljapaistev
10,10,10,10,10,10,10,10,10,10,teadus; teadlane; akadeemia; rahvusvaheline; valitsus; iseseisvuspäev; õpe; tulemus; riigikogu; väljapaistev
10,10,10,10,10,10,10,10,10,10,teadus; teadlane; akadeemia; rahvusvaheline; valitsus; iseseisvuspäev; õpe; tulemus; riigikogu; väljapaistev
10,10,10,10,10,10,10,10,10,10,teadus; teadlane; akadeemia; rahvusvaheline; valitsus; iseseisvuspäev; õpe; tulemus; riigikogu; väljapaistev
10,10,10,10,10,10,10,10,10,10,teadus; teadlane; akadeemia; rahvusvaheline; valitsus; iseseisvuspäev; õpe; tulemus; riigikogu; väljapaistev
10,10,10,10,10,10,10,10,10,10,teadus; teadlane; akadeemia; rahvusvaheline; valitsus; iseseisvuspäev; õpe; tulemus; riigikogu; väljapaistev
