EstBERT,est-roberta,LaBSE,bertMulti,distilbertMulti,MiniLM_multi,MiniLM-L12_multi,multi_e5,xml_roberta,expected_amount,words
8,7,6,6,4,4,3,9,8,18,kristjan; regioon; saar; andrus; ilves; indrek; karulin; ott; ansip; komisjon; euroopa
7,7,6,6,4,4,3,9,8,18,kristjan; regioon; saar; andrus; ilves; indrek; karulin; ott; ansip; komisjon; euroopa
8,7,6,6,5,5,3,9,8,18,kristjan; regioon; saar; andrus; ilves; indrek; karulin; ott; ansip; komisjon; euroopa
8,9,6,7,6,4,5,9,7,18,kristjan; regioon; saar; andrus; ilves; indrek; karulin; ott; ansip; komisjon; euroopa
9,9,8,9,6,7,6,9,7,18,kristjan; regioon; saar; andrus; ilves; indrek; karulin; ott; ansip; komisjon; euroopa
8,9,10,10,7,9,7,10,7,18,kristjan; regioon; saar; andrus; ilves; indrek; karulin; ott; ansip; komisjon; euroopa
8,10,10,8,9,10,10,10,7,18,kristjan; regioon; saar; andrus; ilves; indrek; karulin; ott; ansip; komisjon; euroopa
7,8,10,7,8,9,8,10,8,18,kristjan; regioon; saar; andrus; ilves; indrek; karulin; ott; ansip; komisjon; euroopa
7,10,10,7,9,10,11,9,8,18,kristjan; regioon; saar; andrus; ilves; indrek; karulin; ott; ansip; komisjon; euroopa
6,8,9,6,9,10,11,9,6,18,kristjan; regioon; saar; andrus; ilves; indrek; karulin; ott; ansip; komisjon; euroopa
4,8,10,6,10,10,10,9,6,18,kristjan; regioon; saar; andrus; ilves; indrek; karulin; ott; ansip; komisjon; euroopa
