EstBERT,est-roberta,LaBSE,bertMulti,distilbertMulti,MiniLM_multi,MiniLM-L12_multi,multi_e5,xml_roberta,expected_amount,words
8,8,7,6,7,4,6,6,4,10,energia; tennisemäng; töö; sööma; võistlus; mäng; geim; pall; tervis
8,8,8,6,7,6,5,5,4,10,energia; tennisemäng; töö; sööma; võistlus; mäng; geim; pall; tervis
9,8,8,7,7,6,6,6,4,10,energia; tennisemäng; töö; sööma; võistlus; mäng; geim; pall; tervis
9,8,8,7,6,6,6,7,5,10,energia; tennisemäng; töö; sööma; võistlus; mäng; geim; pall; tervis
9,8,8,7,7,7,6,7,5,10,energia; tennisemäng; töö; sööma; võistlus; mäng; geim; pall; tervis
9,8,7,8,7,8,6,7,5,10,energia; tennisemäng; töö; sööma; võistlus; mäng; geim; pall; tervis
9,8,7,8,7,8,8,7,5,10,energia; tennisemäng; töö; sööma; võistlus; mäng; geim; pall; tervis
8,8,7,8,7,7,9,8,7,10,energia; tennisemäng; töö; sööma; võistlus; mäng; geim; pall; tervis
6,9,7,9,7,7,9,8,6,10,energia; tennisemäng; töö; sööma; võistlus; mäng; geim; pall; tervis
7,9,7,9,6,8,9,8,6,10,tennisemäng; töö; pall; tervis; energia; sööma; võistlus; mäng; geim
7,9,8,9,8,8,9,8,6,10,tennisemäng; töö; pall; tervis; energia; sööma; võistlus; mäng; geim
