EstBERT,est-roberta,LaBSE,bertMulti,distilbertMulti,MiniLM_multi,MiniLM-L12_multi,multi_e5,xml_roberta,expected_amount,words
10,12,12,11,3,8,8,9,9,17,steiner; salme; kosmosesüstik; põllumajandusprojekt; kreeka; viljandi; jürgen; laen; kliimamuudatus; festival; vare; venemaa; pärimusmuusika; muinaslaev; presidendivalimine; kai
10,13,12,11,3,7,8,9,9,17,steiner; salme; kosmosesüstik; põllumajandusprojekt; kreeka; viljandi; jürgen; laen; kliimamuudatus; festival; vare; venemaa; pärimusmuusika; muinaslaev; presidendivalimine; kai
10,14,13,11,3,7,8,10,9,17,steiner; salme; kosmosesüstik; põllumajandusprojekt; kreeka; viljandi; jürgen; laen; kliimamuudatus; festival; vare; venemaa; pärimusmuusika; muinaslaev; presidendivalimine; kai
10,14,14,11,4,7,9,11,9,17,steiner; salme; kosmosesüstik; põllumajandusprojekt; kreeka; viljandi; jürgen; laen; kliimamuudatus; festival; vare; venemaa; pärimusmuusika; muinaslaev; presidendivalimine; kai
11,14,16,12,4,11,12,10,9,17,steiner; salme; kosmosesüstik; põllumajandusprojekt; kreeka; viljandi; jürgen; laen; kliimamuudatus; festival; vare; venemaa; pärimusmuusika; muinaslaev; presidendivalimine; kai
13,10,15,12,5,12,13,13,9,17,steiner; salme; kosmosesüstik; põllumajandusprojekt; kreeka; viljandi; jürgen; laen; festival; kliimamuudatus; vare; venemaa; pärimusmuusika; muinaslaev; presidendivalimine; kai
10,12,15,15,5,11,11,12,10,17,steiner; salme; kosmosesüstik; põllumajandusprojekt; kreeka; viljandi; jürgen; laen; festival; kliimamuudatus; vare; venemaa; pärimusmuusika; muinaslaev; presidendivalimine; kai
11,10,14,15,10,11,12,13,11,17,steiner; salme; kosmosesüstik; põllumajandusprojekt; kreeka; viljandi; jürgen; laen; festival; kliimamuudatus; vare; venemaa; pärimusmuusika; muinaslaev; presidendivalimine; kai
9,9,12,15,14,12,15,14,11,17,steiner; salme; kosmosesüstik; põllumajandusprojekt; kreeka; viljandi; jürgen; laen; festival; kliimamuudatus; vare; venemaa; pärimusmuusika; muinaslaev; presidendivalimine; kai
11,10,12,14,14,11,10,14,11,17,steiner; salme; kosmosesüstik; põllumajandusprojekt; kreeka; viljandi; jürgen; laen; festival; kliimamuudatus; vare; venemaa; pärimusmuusika; muinaslaev; presidendivalimine; kai
8,9,13,14,14,10,12,14,11,17,steiner; salme; kosmosesüstik; põllumajandusprojekt; kreeka; viljandi; jürgen; laen; festival; kliimamuudatus; vare; venemaa; pärimusmuusika; muinaslaev; presidendivalimine; kai
