EstBERT,est-roberta,LaBSE,bertMulti,distilbertMulti,MiniLM_multi,MiniLM-L12_multi,multi_e5,xml_roberta,expected_amount,words
7,10,6,9,4,8,6,7,9,12,villem; kristus; telling; kubi; ilus; proua; eduard; mõisavalitseja; hobune; karjapoiss; mõisnik
7,10,6,9,4,8,6,7,9,12,villem; kristus; telling; kubi; ilus; proua; eduard; mõisavalitseja; hobune; karjapoiss; mõisnik
7,10,7,9,4,7,7,9,9,12,villem; kristus; telling; kubi; ilus; proua; eduard; mõisavalitseja; hobune; karjapoiss; mõisnik
7,10,9,9,4,9,8,8,10,12,villem; kristus; telling; kubi; ilus; proua; eduard; mõisavalitseja; hobune; karjapoiss; mõisnik
9,10,10,11,5,11,9,10,10,12,villem; kristus; telling; kubi; ilus; proua; eduard; hobune; mõisavalitseja; karjapoiss; mõisnik
8,10,8,11,6,10,11,10,10,12,villem; kristus; telling; kubi; ilus; proua; eduard; hobune; mõisavalitseja; karjapoiss; mõisnik
8,8,8,9,7,9,10,10,9,12,villem; kristus; telling; kubi; ilus; proua; eduard; mõisavalitseja; hobune; karjapoiss; mõisnik
8,7,9,10,7,7,10,9,10,12,villem; telling; kristus; kubi; ilus; proua; eduard; mõisavalitseja; hobune; karjapoiss; mõisnik
7,6,9,10,7,7,10,9,9,12,villem; kristus; telling; kubi; ilus; proua; eduard; mõisavalitseja; hobune; karjapoiss; mõisnik
7,8,8,9,9,7,10,9,10,12,villem; kristus; telling; kubi; ilus; proua; eduard; mõisavalitseja; hobune; karjapoiss; mõisnik
7,8,10,10,8,7,9,8,10,12,kristus; villem; telling; kubi; ilus; proua; eduard; mõisavalitseja; hobune; karjapoiss; mõisnik
